maintained,technique,is,OUTFAROUP,and,the,number,is,40
outfaroup,40,outfaroup,40,outfaroup,40,infaro,17,30
outfaroup,40,outfaroup,40,outfaroup,40,infaro,18,20
outfaroup,40,outfaroup,40,outfaroup,40,infaro,19,10
outfaroup,40,outfaroup,40,outfaroup,40,infaro,20,5
outfaroup,40,outfaroup,40,outfaroup,40,infaro,21,5
outfaroup,40,outfaroup,40,outfaroup,40,infaro,22,5
outfaroup,40,outfaroup,40,outfaroup,40,infaro,23,5
outfaroup,40,outfaroup,40,outfaroup,40,infaro,24,5
outfaroup,40,outfaroup,40,outfaroup,40,infaro,25,5
outfaroup,40,outfaroup,40,outfaroup,40,infaro,26,-5
outfaroup,40,outfaroup,40,outfaroup,40,infaro,27,5
outfaroup,40,outfaroup,40,outfaroup,40,infaro,28,15
outfaroup,40,outfaroup,40,outfaroup,40,infaro,29,25
outfaroup,40,outfaroup,40,outfaroup,40,infaro,30,35
outfaroup,40,outfaroup,40,outfaroup,40,infaro,31,45
outfaroup,40,outfaroup,40,outfaroup,40,infaro,32,55
outfaroup,40,outfaroup,40,outfaroup,40,infaro,33,65
outfaroup,40,outfaroup,40,outfaroup,40,infaro,34,75
outfaroup,40,outfaroup,40,outfaroup,40,infaro,35,85
outfaroup,40,outfaroup,40,outfaroup,40,infaro,36,95
outfaroup,40,outfaroup,40,outfaroup,40,infaro,37,105
outfaroup,40,outfaroup,40,outfaroup,40,infaro,38,115
outfaroup,40,outfaroup,40,outfaroup,40,infaro,39,245
outfaroup,40,outfaroup,40,outfaroup,40,infaro,40,130
outfaroup,40,outfaroup,40,outfaroup,40,infaro,41,130
outfaroup,40,outfaroup,40,outfaroup,40,infaro,42,130
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,10,90
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,11,80
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,12,70
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,13,60
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,14,50
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,15,40
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,16,30
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,17,20
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,18,10
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,19,0
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,20,-5
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,21,-5
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,22,-5
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,23,-5
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,24,-5
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,25,-5
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,26,-5
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,27,5
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,28,15
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,29,25
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,30,35
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,31,45
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,32,55
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,33,65
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,34,75
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,35,85
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,36,95
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,37,105
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,38,115
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,39,245
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,40,270
outfaroup,40,outfaroup,40,outfaroup,40,infaroup,41,135
