maintained,technique,is,INFARO,and,the,number,is,40
infaro,40,infaro,40,infaro,40,infaro,11,135
infaro,40,infaro,40,infaro,40,infaro,12,130
infaro,40,infaro,40,infaro,40,infaro,13,120
infaro,40,infaro,40,infaro,40,infaro,14,110
infaro,40,infaro,40,infaro,40,infaro,15,100
infaro,40,infaro,40,infaro,40,infaro,16,90
infaro,40,infaro,40,infaro,40,infaro,17,80
infaro,40,infaro,40,infaro,40,infaro,18,70
infaro,40,infaro,40,infaro,40,infaro,19,60
infaro,40,infaro,40,infaro,40,infaro,20,55
infaro,40,infaro,40,infaro,40,infaro,21,55
infaro,40,infaro,40,infaro,40,infaro,22,55
infaro,40,infaro,40,infaro,40,infaro,23,55
infaro,40,infaro,40,infaro,40,infaro,24,55
infaro,40,infaro,40,infaro,40,infaro,25,55
infaro,40,infaro,40,infaro,40,infaro,26,55
infaro,40,infaro,40,infaro,40,infaro,27,65
infaro,40,infaro,40,infaro,40,infaro,28,75
infaro,40,infaro,40,infaro,40,infaro,29,85
infaro,40,infaro,40,infaro,40,infaro,30,95
infaro,40,infaro,40,infaro,40,infaro,31,105
infaro,40,infaro,40,infaro,40,infaro,32,115
infaro,40,infaro,40,infaro,40,infaro,33,125
infaro,40,infaro,40,infaro,40,infaro,34,135
infaro,40,infaro,40,infaro,40,infaro,35,145
infaro,40,infaro,40,infaro,40,infaro,36,155
infaro,40,infaro,40,infaro,40,infaro,37,165
infaro,40,infaro,40,infaro,40,infaro,38,175
infaro,40,infaro,40,infaro,40,infaro,39,185
infaro,40,infaro,40,infaro,40,infaro,40,510
infaro,40,infaro,40,infaro,40,infaro,41,190
infaro,40,infaro,40,infaro,40,infaro,42,185
infaro,40,infaro,40,infaro,40,infaroup,10,95
infaro,40,infaro,40,infaro,40,infaroup,11,85
infaro,40,infaro,40,infaro,40,infaroup,12,80
infaro,40,infaro,40,infaro,40,infaroup,13,70
infaro,40,infaro,40,infaro,40,infaroup,14,60
infaro,40,infaro,40,infaro,40,infaroup,15,50
infaro,40,infaro,40,infaro,40,infaroup,16,40
infaro,40,infaro,40,infaro,40,infaroup,17,30
infaro,40,infaro,40,infaro,40,infaroup,18,20
infaro,40,infaro,40,infaro,40,infaroup,19,10
infaro,40,infaro,40,infaro,40,infaroup,20,0
infaro,40,infaro,40,infaro,40,infaroup,21,0
infaro,40,infaro,40,infaro,40,infaroup,22,0
infaro,40,infaro,40,infaro,40,infaroup,23,0
infaro,40,infaro,40,infaro,40,infaroup,24,0
infaro,40,infaro,40,infaro,40,infaroup,25,0
infaro,40,infaro,40,infaro,40,infaroup,26,55
infaro,40,infaro,40,infaro,40,infaroup,27,5
infaro,40,infaro,40,infaro,40,infaroup,28,15
infaro,40,infaro,40,infaro,40,infaroup,29,25
