maintained,technique,is,CUT,and,the,number,is,40
cut,40,cut,40,cut,40,peal,43,10
cut,40,cut,40,cut,40,peal,44,-10
cut,40,cut,40,cut,40,peal,45,10
cut,40,cut,40,cut,40,peal,46,-10
cut,40,cut,40,cut,40,peal,47,10
cut,40,cut,40,cut,40,peal,48,-10
cut,40,cut,40,cut,40,peal,49,10
cut,40,cut,40,cut,40,peal,50,-10
cut,40,cut,40,cut,40,peal,51,10
cut,40,cut,40,cut,40,pealup,2,-10
cut,40,cut,40,cut,40,pealup,3,-10
cut,40,cut,40,cut,40,pealup,4,-10
cut,40,cut,40,cut,40,pealup,5,-10
cut,40,cut,40,cut,40,pealup,6,-10
cut,40,cut,40,cut,40,pealup,7,-10
cut,40,cut,40,cut,40,pealup,8,-10
cut,40,cut,40,cut,40,pealup,9,-10
cut,40,cut,40,cut,40,pealup,10,-10
cut,40,cut,40,cut,40,pealup,11,-10
cut,40,cut,40,cut,40,pealup,12,-10
cut,40,cut,40,cut,40,pealup,13,0
cut,40,cut,40,cut,40,pealup,14,-10
cut,40,cut,40,cut,40,pealup,15,0
cut,40,cut,40,cut,40,pealup,16,-10
cut,40,cut,40,cut,40,pealup,17,0
cut,40,cut,40,cut,40,pealup,18,-10
cut,40,cut,40,cut,40,pealup,19,0
cut,40,cut,40,cut,40,pealup,20,-10
cut,40,cut,40,cut,40,pealup,21,0
cut,40,cut,40,cut,40,pealup,22,-10
cut,40,cut,40,cut,40,pealup,23,0
cut,40,cut,40,cut,40,pealup,24,-10
cut,40,cut,40,cut,40,pealup,25,0
cut,40,cut,40,cut,40,pealup,26,-10
cut,40,cut,40,cut,40,pealup,27,0
cut,40,cut,40,cut,40,pealup,28,-10
cut,40,cut,40,cut,40,pealup,29,0
cut,40,cut,40,cut,40,pealup,30,-10
cut,40,cut,40,cut,40,pealup,31,0
cut,40,cut,40,cut,40,pealup,32,-10
cut,40,cut,40,cut,40,pealup,33,0
cut,40,cut,40,cut,40,pealup,34,-10
cut,40,cut,40,cut,40,pealup,35,0
cut,40,cut,40,cut,40,pealup,36,-10
cut,40,cut,40,cut,40,pealup,37,0
cut,40,cut,40,cut,40,pealup,38,-10
cut,40,cut,40,cut,40,pealup,39,0
cut,40,cut,40,cut,40,pealup,40,-10
cut,40,cut,40,cut,40,pealup,41,10
cut,40,cut,40,cut,40,pealup,42,-10
cut,40,cut,40,cut,40,pealup,43,10
cut,40,cut,40,cut,40,pealup,44,-10
cut,40,cut,40,cut,40,pealup,45,10
cut,40,cut,40,cut,40,pealup,46,-10
cut,40,cut,40,cut,40,pealup,47,10
cut,40,cut,40,cut,40,pealup,48,-10
cut,40,cut,40,cut,40,pealup,49,10
cut,40,cut,40,cut,40,pealup,50,-10
cut,40,cut,40,cut,40,pealup,51,10
cut,40,cut,40,cut,40,infaro,10,-10
cut,40,cut,40,cut,40,infaro,11,-10
cut,40,cut,40,cut,40,infaro,12,0
cut,40,cut,40,cut,40,infaro,13,0
cut,40,cut,40,cut,40,infaro,14,0
cut,40,cut,40,cut,40,infaro,15,0
cut,40,cut,40,cut,40,infaro,16,0
cut,40,cut,40,cut,40,infaro,17,0
cut,40,cut,40,cut,40,infaro,18,0
cut,40,cut,40,cut,40,infaro,19,0
cut,40,cut,40,cut,40,infaro,20,0
cut,40,cut,40,cut,40,infaro,21,0
cut,40,cut,40,cut,40,infaro,22,0
cut,40,cut,40,cut,40,infaro,23,0
cut,40,cut,40,cut,40,infaro,24,0
