maintained,technique,is,PEAL,and,the,number,is,20
peal,20,peal,20,peal,20,pealup,49,160
peal,20,peal,20,peal,20,pealup,50,170
peal,20,peal,20,peal,20,pealup,51,180
peal,20,peal,20,peal,20,infaro,10,310
peal,20,peal,20,peal,20,infaro,11,290
peal,20,peal,20,peal,20,infaro,12,270
peal,20,peal,20,peal,20,infaro,13,250
peal,20,peal,20,peal,20,infaro,14,230
peal,20,peal,20,peal,20,infaro,15,210
peal,20,peal,20,peal,20,infaro,16,190
peal,20,peal,20,peal,20,infaro,17,170
peal,20,peal,20,peal,20,infaro,18,150
peal,20,peal,20,peal,20,infaro,19,140
peal,20,peal,20,peal,20,infaro,20,110
peal,20,peal,20,peal,20,infaro,21,90
peal,20,peal,20,peal,20,infaro,22,70
peal,20,peal,20,peal,20,infaro,23,50
peal,20,peal,20,peal,20,infaro,24,30
peal,20,peal,20,peal,20,infaro,25,10
peal,20,peal,20,peal,20,infaro,26,0
peal,20,peal,20,peal,20,infaro,27,20
peal,20,peal,20,peal,20,infaro,28,40
peal,20,peal,20,peal,20,infaro,29,60
peal,20,peal,20,peal,20,infaro,30,80
peal,20,peal,20,peal,20,infaro,31,100
peal,20,peal,20,peal,20,infaro,32,110
peal,20,peal,20,peal,20,infaro,33,120
peal,20,peal,20,peal,20,infaro,34,130
peal,20,peal,20,peal,20,infaro,35,140
peal,20,peal,20,peal,20,infaro,36,150
peal,20,peal,20,peal,20,infaro,37,160
peal,20,peal,20,peal,20,infaro,38,170
peal,20,peal,20,peal,20,infaro,39,180
peal,20,peal,20,peal,20,infaro,40,190
peal,20,peal,20,peal,20,infaro,41,200
peal,20,peal,20,peal,20,infaro,42,210
peal,20,peal,20,peal,20,infaroup,10,110
peal,20,peal,20,peal,20,infaroup,11,90
peal,20,peal,20,peal,20,infaroup,12,70
peal,20,peal,20,peal,20,infaroup,13,50
peal,20,peal,20,peal,20,infaroup,14,30
peal,20,peal,20,peal,20,infaroup,15,10
peal,20,peal,20,peal,20,infaroup,16,0
peal,20,peal,20,peal,20,infaroup,17,0
peal,20,peal,20,peal,20,infaroup,18,0
peal,20,peal,20,peal,20,infaroup,19,0
peal,20,peal,20,peal,20,infaroup,20,0
peal,20,peal,20,peal,20,infaroup,21,0
peal,20,peal,20,peal,20,infaroup,22,0
peal,20,peal,20,peal,20,infaroup,23,0
peal,20,peal,20,peal,20,infaroup,24,0
peal,20,peal,20,peal,20,infaroup,25,0
peal,20,peal,20,peal,20,infaroup,26,0
peal,20,peal,20,peal,20,infaroup,27,20
peal,20,peal,20,peal,20,infaroup,28,40
peal,20,peal,20,peal,20,infaroup,29,60
peal,20,peal,20,peal,20,infaroup,30,80
peal,20,peal,20,peal,20,infaroup,31,100
peal,20,peal,20,peal,20,infaroup,32,120
peal,20,peal,20,peal,20,infaroup,33,130
peal,20,peal,20,peal,20,infaroup,34,140
peal,20,peal,20,peal,20,infaroup,35,150
peal,20,peal,20,peal,20,infaroup,36,160
peal,20,peal,20,peal,20,infaroup,37,170
peal,20,peal,20,peal,20,infaroup,38,180
peal,20,peal,20,peal,20,infaroup,39,190
peal,20,peal,20,peal,20,infaroup,40,200
peal,20,peal,20,peal,20,infaroup,41,210
peal,20,peal,20,peal,20,infaroup,42,220
peal,20,peal,20,peal,20,outfaro,10,310
peal,20,peal,20,peal,20,outfaro,11,300
peal,20,peal,20,peal,20,outfaro,12,280
peal,20,peal,20,peal,20,outfaro,13,260
peal,20,peal,20,peal,20,outfaro,14,240
peal,20,peal,20,peal,20,outfaro,15,220
peal,20,peal,20,peal,20,outfaro,16,200
peal,20,peal,20,peal,20,outfaro,17,180
peal,20,peal,20,peal,20,outfaro,18,160
peal,20,peal,20,peal,20,outfaro,19,140
peal,20,peal,20,peal,20,outfaro,20,130
peal,20,peal,20,peal,20,outfaro,21,100
peal,20,peal,20,peal,20,outfaro,22,80
peal,20,peal,20,peal,20,outfaro,23,60
peal,20,peal,20,peal,20,outfaro,24,40
peal,20,peal,20,peal,20,outfaro,25,20
peal,20,peal,20,peal,20,outfaro,26,0
peal,20,peal,20,peal,20,outfaro,27,10
peal,20,peal,20,peal,20,outfaro,28,30
peal,20,peal,20,peal,20,outfaro,29,50
peal,20,peal,20,peal,20,outfaro,30,70
peal,20,peal,20,peal,20,outfaro,31,90
peal,20,peal,20,peal,20,outfaro,32,110
peal,20,peal,20,peal,20,outfaro,33,120
peal,20,peal,20,peal,20,outfaro,34,130
peal,20,peal,20,peal,20,outfaro,35,140
peal,20,peal,20,peal,20,outfaro,36,150
peal,20,peal,20,peal,20,outfaro,37,160
peal,20,peal,20,peal,20,outfaro,38,170
peal,20,peal,20,peal,20,outfaro,39,180
peal,20,peal,20,peal,20,outfaro,40,190
peal,20,peal,20,peal,20,outfaro,41,200
peal,20,peal,20,peal,20,outfaro,42,210
peal,20,peal,20,peal,20,outfaroup,10,120
peal,20,peal,20,peal,20,outfaroup,11,100
peal,20,peal,20,peal,20,outfaroup,12,80
