maintained,technique,is,CUT,and,the,number,is,30
cut,30,cut,30,infaro,21,cut,30,-10
cut,30,cut,30,infaro,22,cut,30,0
cut,30,cut,30,infaro,23,cut,30,0
cut,30,cut,30,infaro,24,cut,30,0
cut,30,cut,30,infaro,25,cut,30,0
cut,30,cut,30,infaro,26,cut,30,0
cut,30,cut,30,infaro,27,cut,30,0
cut,30,cut,30,infaro,28,cut,30,0
cut,30,cut,30,infaro,29,cut,30,0
cut,30,cut,30,infaro,30,cut,30,90
cut,30,cut,30,infaro,31,cut,30,0
cut,30,cut,30,infaro,32,cut,30,0
cut,30,cut,30,infaro,33,cut,30,0
cut,30,cut,30,infaro,34,cut,30,0
cut,30,cut,30,infaro,35,cut,30,0
cut,30,cut,30,infaro,36,cut,30,0
cut,30,cut,30,infaro,37,cut,30,0
cut,30,cut,30,infaro,38,cut,30,0
cut,30,cut,30,infaro,39,cut,30,0
cut,30,cut,30,infaro,40,cut,30,0
cut,30,cut,30,infaro,41,cut,30,-10
cut,30,cut,30,infaro,42,cut,30,-10
cut,30,cut,30,infaroup,10,cut,30,-10
cut,30,cut,30,infaroup,11,cut,30,-10
cut,30,cut,30,infaroup,12,cut,30,-10
cut,30,cut,30,infaroup,13,cut,30,-10
cut,30,cut,30,infaroup,14,cut,30,-10
cut,30,cut,30,infaroup,15,cut,30,-10
cut,30,cut,30,infaroup,16,cut,30,-10
cut,30,cut,30,infaroup,17,cut,30,-10
cut,30,cut,30,infaroup,18,cut,30,-10
cut,30,cut,30,infaroup,19,cut,30,-10
cut,30,cut,30,infaroup,20,cut,30,-10
cut,30,cut,30,infaroup,21,cut,30,-10
cut,30,cut,30,infaroup,22,cut,30,0
cut,30,cut,30,infaroup,23,cut,30,0
cut,30,cut,30,infaroup,24,cut,30,0
cut,30,cut,30,infaroup,25,cut,30,0
cut,30,cut,30,infaroup,26,cut,30,0
cut,30,cut,30,infaroup,27,cut,30,0
cut,30,cut,30,infaroup,28,cut,30,0
cut,30,cut,30,infaroup,29,cut,30,0
cut,30,cut,30,infaroup,30,cut,30,0
cut,30,cut,30,infaroup,31,cut,30,0
cut,30,cut,30,infaroup,32,cut,30,0
cut,30,cut,30,infaroup,33,cut,30,0
cut,30,cut,30,infaroup,34,cut,30,0
cut,30,cut,30,infaroup,35,cut,30,0
cut,30,cut,30,infaroup,36,cut,30,0
cut,30,cut,30,infaroup,37,cut,30,-10
cut,30,cut,30,infaroup,38,cut,30,-10
cut,30,cut,30,infaroup,39,cut,30,-10
cut,30,cut,30,infaroup,40,cut,30,-10
cut,30,cut,30,infaroup,41,cut,30,-10
cut,30,cut,30,infaroup,42,cut,30,-10
cut,30,cut,30,outfaro,10,cut,30,-10
cut,30,cut,30,outfaro,11,cut,30,-10
cut,30,cut,30,outfaro,12,cut,30,-10
cut,30,cut,30,outfaro,13,cut,30,-10
cut,30,cut,30,outfaro,14,cut,30,-10
cut,30,cut,30,outfaro,15,cut,30,-10
cut,30,cut,30,outfaro,16,cut,30,-10
cut,30,cut,30,outfaro,17,cut,30,-10
cut,30,cut,30,outfaro,18,cut,30,-10
cut,30,cut,30,outfaro,19,cut,30,-10
cut,30,cut,30,outfaro,20,cut,30,-10
cut,30,cut,30,outfaro,21,cut,30,-10
cut,30,cut,30,outfaro,22,cut,30,-10
cut,30,cut,30,outfaro,23,cut,30,0
cut,30,cut,30,outfaro,24,cut,30,0
cut,30,cut,30,outfaro,25,cut,30,0
cut,30,cut,30,outfaro,26,cut,30,0
cut,30,cut,30,outfaro,27,cut,30,0
cut,30,cut,30,outfaro,28,cut,30,0
cut,30,cut,30,outfaro,29,cut,30,0
cut,30,cut,30,outfaro,30,cut,30,70
cut,30,cut,30,outfaro,31,cut,30,0
cut,30,cut,30,outfaro,32,cut,30,0
cut,30,cut,30,outfaro,33,cut,30,0
cut,30,cut,30,outfaro,34,cut,30,0
cut,30,cut,30,outfaro,35,cut,30,0
cut,30,cut,30,outfaro,36,cut,30,0
cut,30,cut,30,outfaro,37,cut,30,0
cut,30,cut,30,outfaro,38,cut,30,0
cut,30,cut,30,outfaro,39,cut,30,0
cut,30,cut,30,outfaro,40,cut,30,0
cut,30,cut,30,outfaro,41,cut,30,0
cut,30,cut,30,outfaro,42,cut,30,-10
cut,30,cut,30,outfaroup,10,cut,30,-10
cut,30,cut,30,outfaroup,11,cut,30,-10
cut,30,cut,30,outfaroup,12,cut,30,-10
cut,30,cut,30,outfaroup,13,cut,30,-10
cut,30,cut,30,outfaroup,14,cut,30,-10
cut,30,cut,30,outfaroup,15,cut,30,-10
cut,30,cut,30,outfaroup,16,cut,30,-10
cut,30,cut,30,outfaroup,17,cut,30,-10
cut,30,cut,30,outfaroup,18,cut,30,-10
cut,30,cut,30,outfaroup,19,cut,30,-10
cut,30,cut,30,outfaroup,20,cut,30,-10
cut,30,cut,30,outfaroup,21,cut,30,-10
cut,30,cut,30,outfaroup,22,cut,30,-10
cut,30,cut,30,outfaroup,23,cut,30,0
cut,30,cut,30,outfaroup,24,cut,30,0
cut,30,cut,30,outfaroup,25,cut,30,0
cut,30,cut,30,outfaroup,26,cut,30,0
cut,30,cut,30,outfaroup,27,cut,30,0
cut,30,cut,30,outfaroup,28,cut,30,0
cut,30,cut,30,outfaroup,29,cut,30,0
cut,30,cut,30,outfaroup,30,cut,30,0
cut,30,cut,30,outfaroup,31,cut,30,0
cut,30,cut,30,outfaroup,32,cut,30,0
cut,30,cut,30,outfaroup,33,cut,30,0
cut,30,cut,30,outfaroup,34,cut,30,0
cut,30,cut,30,outfaroup,35,cut,30,0
cut,30,cut,30,outfaroup,36,cut,30,0
cut,30,cut,30,outfaroup,37,cut,30,0
cut,30,cut,30,outfaroup,38,cut,30,-10
cut,30,cut,30,outfaroup,39,cut,30,-10
cut,30,cut,30,outfaroup,40,cut,30,-10
cut,30,cut,30,outfaroup,41,cut,30,-10
cut,30,cut,30,outfaroup,42,cut,30,-10
