maintained,technique,is,PEAL,and,the,number,is,20
peal,20,peal,20,peal,20,pealup,18,130
peal,20,peal,20,peal,20,pealup,19,125
peal,20,peal,20,peal,20,pealup,20,110
peal,20,peal,20,peal,20,pealup,21,105
peal,20,peal,20,peal,20,pealup,22,90
peal,20,peal,20,peal,20,pealup,23,85
peal,20,peal,20,peal,20,pealup,24,70
peal,20,peal,20,peal,20,pealup,25,65
peal,20,peal,20,peal,20,pealup,26,50
peal,20,peal,20,peal,20,pealup,27,45
peal,20,peal,20,peal,20,pealup,28,30
peal,20,peal,20,peal,20,pealup,29,25
peal,20,peal,20,peal,20,pealup,30,10
peal,20,peal,20,peal,20,pealup,31,5
peal,20,peal,20,peal,20,pealup,32,-5
peal,20,peal,20,peal,20,pealup,33,0
peal,20,peal,20,peal,20,pealup,34,0
peal,20,peal,20,peal,20,pealup,35,10
peal,20,peal,20,peal,20,pealup,36,10
peal,20,peal,20,peal,20,pealup,37,20
peal,20,peal,20,peal,20,pealup,38,20
peal,20,peal,20,peal,20,pealup,39,30
peal,20,peal,20,peal,20,pealup,40,30
peal,20,peal,20,peal,20,pealup,41,40
peal,20,peal,20,peal,20,pealup,42,40
peal,20,peal,20,peal,20,pealup,43,50
peal,20,peal,20,peal,20,pealup,44,50
peal,20,peal,20,peal,20,pealup,45,60
peal,20,peal,20,peal,20,pealup,46,60
peal,20,peal,20,peal,20,pealup,47,70
peal,20,peal,20,peal,20,pealup,48,70
peal,20,peal,20,peal,20,pealup,49,80
peal,20,peal,20,peal,20,pealup,50,80
peal,20,peal,20,peal,20,pealup,51,90
peal,20,peal,20,peal,20,infaro,10,320
peal,20,peal,20,peal,20,infaro,11,295
peal,20,peal,20,peal,20,infaro,12,275
peal,20,peal,20,peal,20,infaro,13,260
peal,20,peal,20,peal,20,infaro,14,235
peal,20,peal,20,peal,20,infaro,15,215
peal,20,peal,20,peal,20,infaro,16,200
peal,20,peal,20,peal,20,infaro,17,175
peal,20,peal,20,peal,20,infaro,18,155
peal,20,peal,20,peal,20,infaro,19,145
peal,20,peal,20,peal,20,infaro,20,115
peal,20,peal,20,peal,20,infaro,21,95
peal,20,peal,20,peal,20,infaro,22,75
