maintained,technique,is,INFARO,and,the,number,is,20
infaro,20,infaro,20,infaro,20,peal,34,110
infaro,20,infaro,20,infaro,20,peal,35,120
infaro,20,infaro,20,infaro,20,peal,36,120
infaro,20,infaro,20,infaro,20,peal,37,110
infaro,20,infaro,20,infaro,20,peal,38,120
infaro,20,infaro,20,infaro,20,peal,39,120
infaro,20,infaro,20,infaro,20,peal,40,110
infaro,20,infaro,20,infaro,20,peal,41,110
infaro,20,infaro,20,infaro,20,peal,42,100
infaro,20,infaro,20,infaro,20,peal,43,80
infaro,20,infaro,20,infaro,20,peal,44,80
infaro,20,infaro,20,infaro,20,peal,45,70
infaro,20,infaro,20,infaro,20,peal,46,50
infaro,20,infaro,20,infaro,20,peal,47,50
infaro,20,infaro,20,infaro,20,peal,48,40
infaro,20,infaro,20,infaro,20,peal,49,20
infaro,20,infaro,20,infaro,20,peal,50,20
infaro,20,infaro,20,infaro,20,peal,51,10
infaro,20,infaro,20,infaro,20,pealup,2,90
infaro,20,infaro,20,infaro,20,pealup,3,90
infaro,20,infaro,20,infaro,20,pealup,4,70
infaro,20,infaro,20,infaro,20,pealup,5,70
infaro,20,infaro,20,infaro,20,pealup,6,50
infaro,20,infaro,20,infaro,20,pealup,7,50
infaro,20,infaro,20,infaro,20,pealup,8,30
infaro,20,infaro,20,infaro,20,pealup,9,30
infaro,20,infaro,20,infaro,20,pealup,10,10
infaro,20,infaro,20,infaro,20,pealup,11,10
infaro,20,infaro,20,infaro,20,pealup,12,-10
infaro,20,infaro,20,infaro,20,pealup,13,0
infaro,20,infaro,20,infaro,20,pealup,14,-10
infaro,20,infaro,20,infaro,20,pealup,15,0
infaro,20,infaro,20,infaro,20,pealup,16,-10
infaro,20,infaro,20,infaro,20,pealup,17,0
infaro,20,infaro,20,infaro,20,pealup,18,-10
infaro,20,infaro,20,infaro,20,pealup,19,0
infaro,20,infaro,20,infaro,20,pealup,20,-10
infaro,20,infaro,20,infaro,20,pealup,21,0
infaro,20,infaro,20,infaro,20,pealup,22,-10
infaro,20,infaro,20,infaro,20,pealup,23,0
infaro,20,infaro,20,infaro,20,pealup,24,-10
infaro,20,infaro,20,infaro,20,pealup,25,-10
infaro,20,infaro,20,infaro,20,pealup,26,0
infaro,20,infaro,20,infaro,20,pealup,27,-10
infaro,20,infaro,20,infaro,20,pealup,28,-10
infaro,20,infaro,20,infaro,20,pealup,29,0
infaro,20,infaro,20,infaro,20,pealup,30,-10
infaro,20,infaro,20,infaro,20,pealup,31,-10
infaro,20,infaro,20,infaro,20,pealup,32,0
infaro,20,infaro,20,infaro,20,pealup,33,-10
infaro,20,infaro,20,infaro,20,pealup,34,-10
infaro,20,infaro,20,infaro,20,pealup,35,0
infaro,20,infaro,20,infaro,20,pealup,36,-10
infaro,20,infaro,20,infaro,20,pealup,37,-10
infaro,20,infaro,20,infaro,20,pealup,38,0
infaro,20,infaro,20,infaro,20,pealup,39,-10
infaro,20,infaro,20,infaro,20,pealup,40,-10
infaro,20,infaro,20,infaro,20,pealup,41,0
infaro,20,infaro,20,infaro,20,pealup,42,-10
infaro,20,infaro,20,infaro,20,pealup,43,-10
infaro,20,infaro,20,infaro,20,pealup,44,0
infaro,20,infaro,20,infaro,20,pealup,45,0
infaro,20,infaro,20,infaro,20,pealup,46,-10
infaro,20,infaro,20,infaro,20,pealup,47,0
infaro,20,infaro,20,infaro,20,pealup,48,0
infaro,20,infaro,20,infaro,20,pealup,49,-10
infaro,20,infaro,20,infaro,20,pealup,50,0
infaro,20,infaro,20,infaro,20,pealup,51,0
infaro,20,infaro,20,infaro,20,infaro,10,210
infaro,20,infaro,20,infaro,20,infaro,11,220
infaro,20,infaro,20,infaro,20,infaro,12,230
infaro,20,infaro,20,infaro,20,infaro,13,240
infaro,20,infaro,20,infaro,20,infaro,14,250
infaro,20,infaro,20,infaro,20,infaro,15,260
infaro,20,infaro,20,infaro,20,infaro,16,270
infaro,20,infaro,20,infaro,20,infaro,17,280
infaro,20,infaro,20,infaro,20,infaro,18,290
infaro,20,infaro,20,infaro,20,infaro,19,300
infaro,20,infaro,20,infaro,20,infaro,20,510
infaro,20,infaro,20,infaro,20,infaro,21,290
infaro,20,infaro,20,infaro,20,infaro,22,270
infaro,20,infaro,20,infaro,20,infaro,23,250
infaro,20,infaro,20,infaro,20,infaro,24,230
infaro,20,infaro,20,infaro,20,infaro,25,210
infaro,20,infaro,20,infaro,20,infaro,26,190
infaro,20,infaro,20,infaro,20,infaro,27,190
infaro,20,infaro,20,infaro,20,infaro,28,190
infaro,20,infaro,20,infaro,20,infaro,29,190
infaro,20,infaro,20,infaro,20,infaro,30,190
infaro,20,infaro,20,infaro,20,infaro,31,190
infaro,20,infaro,20,infaro,20,infaro,32,190
infaro,20,infaro,20,infaro,20,infaro,33,180
infaro,20,infaro,20,infaro,20,infaro,34,170
infaro,20,infaro,20,infaro,20,infaro,35,160
infaro,20,infaro,20,infaro,20,infaro,36,150
infaro,20,infaro,20,infaro,20,infaro,37,140
infaro,20,infaro,20,infaro,20,infaro,38,130
infaro,20,infaro,20,infaro,20,infaro,39,120
infaro,20,infaro,20,infaro,20,infaro,40,110
infaro,20,infaro,20,infaro,20,infaro,41,100
infaro,20,infaro,20,infaro,20,infaro,42,90
infaro,20,infaro,20,infaro,20,infaroup,10,-10
infaro,20,infaro,20,infaro,20,infaroup,11,-10
infaro,20,infaro,20,infaro,20,infaroup,12,-10
infaro,20,infaro,20,infaro,20,infaroup,13,-10
infaro,20,infaro,20,infaro,20,infaroup,14,-10
infaro,20,infaro,20,infaro,20,infaroup,15,-10
infaro,20,infaro,20,infaro,20,infaroup,16,-10
infaro,20,infaro,20,infaro,20,infaroup,17,-10
infaro,20,infaro,20,infaro,20,infaroup,18,-10
infaro,20,infaro,20,infaro,20,infaroup,19,-10
infaro,20,infaro,20,infaro,20,infaroup,20,-10
infaro,20,infaro,20,infaro,20,infaroup,21,-10
infaro,20,infaro,20,infaro,20,infaroup,22,-10
infaro,20,infaro,20,infaro,20,infaroup,23,-10
infaro,20,infaro,20,infaro,20,infaroup,24,-10
infaro,20,infaro,20,infaro,20,infaroup,25,-10
infaro,20,infaro,20,infaro,20,infaroup,26,190
infaro,20,infaro,20,infaro,20,infaroup,27,-10
infaro,20,infaro,20,infaro,20,infaroup,28,-10
infaro,20,infaro,20,infaro,20,infaroup,29,-10
infaro,20,infaro,20,infaro,20,infaroup,30,-10
infaro,20,infaro,20,infaro,20,infaroup,31,-10
infaro,20,infaro,20,infaro,20,infaroup,32,0
infaro,20,infaro,20,infaro,20,infaroup,33,0
infaro,20,infaro,20,infaro,20,infaroup,34,0
infaro,20,infaro,20,infaro,20,infaroup,35,0
infaro,20,infaro,20,infaro,20,infaroup,36,0
infaro,20,infaro,20,infaro,20,infaroup,37,0
infaro,20,infaro,20,infaro,20,infaroup,38,0
infaro,20,infaro,20,infaro,20,infaroup,39,0
infaro,20,infaro,20,infaro,20,infaroup,40,0
infaro,20,infaro,20,infaro,20,infaroup,41,0
infaro,20,infaro,20,infaro,20,infaroup,42,0
infaro,20,infaro,20,infaro,20,outfaro,10,110
infaro,20,infaro,20,infaro,20,outfaro,11,110
infaro,20,infaro,20,infaro,20,outfaro,12,110
infaro,20,infaro,20,infaro,20,outfaro,13,110
infaro,20,infaro,20,infaro,20,outfaro,14,110
infaro,20,infaro,20,infaro,20,outfaro,15,110
infaro,20,infaro,20,infaro,20,outfaro,16,110
infaro,20,infaro,20,infaro,20,outfaro,17,110
infaro,20,infaro,20,infaro,20,outfaro,18,110
infaro,20,infaro,20,infaro,20,outfaro,19,110
infaro,20,infaro,20,infaro,20,outfaro,20,110
infaro,20,infaro,20,infaro,20,outfaro,21,100
infaro,20,infaro,20,infaro,20,outfaro,22,80
infaro,20,infaro,20,infaro,20,outfaro,23,60
infaro,20,infaro,20,infaro,20,outfaro,24,40
infaro,20,infaro,20,infaro,20,outfaro,25,20
infaro,20,infaro,20,infaro,20,outfaro,26,0
infaro,20,infaro,20,infaro,20,outfaro,27,-10
infaro,20,infaro,20,infaro,20,outfaro,28,-10
infaro,20,infaro,20,infaro,20,outfaro,29,-10
infaro,20,infaro,20,infaro,20,outfaro,30,-10
infaro,20,infaro,20,infaro,20,outfaro,31,-10
infaro,20,infaro,20,infaro,20,outfaro,32,-10
infaro,20,infaro,20,infaro,20,outfaro,33,-10
infaro,20,infaro,20,infaro,20,outfaro,34,-10
infaro,20,infaro,20,infaro,20,outfaro,35,-10
infaro,20,infaro,20,infaro,20,outfaro,36,-10
infaro,20,infaro,20,infaro,20,outfaro,37,-10
infaro,20,infaro,20,infaro,20,outfaro,38,-10
infaro,20,infaro,20,infaro,20,outfaro,39,-10
infaro,20,infaro,20,infaro,20,outfaro,40,-10
infaro,20,infaro,20,infaro,20,outfaro,41,-10
infaro,20,infaro,20,infaro,20,outfaro,42,-10
infaro,20,infaro,20,infaro,20,outfaroup,10,0
infaro,20,infaro,20,infaro,20,outfaroup,11,0
infaro,20,infaro,20,infaro,20,outfaroup,12,0
infaro,20,infaro,20,infaro,20,outfaroup,13,0
infaro,20,infaro,20,infaro,20,outfaroup,14,0
infaro,20,infaro,20,infaro,20,outfaroup,15,0
infaro,20,infaro,20,infaro,20,outfaroup,16,0
infaro,20,infaro,20,infaro,20,outfaroup,17,0
infaro,20,infaro,20,infaro,20,outfaroup,18,0
infaro,20,infaro,20,infaro,20,outfaroup,19,0
infaro,20,infaro,20,infaro,20,outfaroup,20,0
infaro,20,infaro,20,infaro,20,outfaroup,21,0
infaro,20,infaro,20,infaro,20,outfaroup,22,0
infaro,20,infaro,20,infaro,20,outfaroup,23,0
infaro,20,infaro,20,infaro,20,outfaroup,24,0
infaro,20,infaro,20,infaro,20,outfaroup,25,0
infaro,20,infaro,20,infaro,20,outfaroup,26,0
infaro,20,infaro,20,infaro,20,outfaroup,27,0
infaro,20,infaro,20,infaro,20,outfaroup,28,0
infaro,20,infaro,20,infaro,20,outfaroup,29,0
infaro,20,infaro,20,infaro,20,outfaroup,30,0
infaro,20,infaro,20,infaro,20,outfaroup,31,0
infaro,20,infaro,20,infaro,20,outfaroup,32,10
infaro,20,infaro,20,infaro,20,outfaroup,33,10
infaro,20,infaro,20,infaro,20,outfaroup,34,10
infaro,20,infaro,20,infaro,20,outfaroup,35,10
infaro,20,infaro,20,infaro,20,outfaroup,36,10
infaro,20,infaro,20,infaro,20,outfaroup,37,10
infaro,20,infaro,20,infaro,20,outfaroup,38,10
infaro,20,infaro,20,infaro,20,outfaroup,39,10
infaro,20,infaro,20,infaro,20,outfaroup,40,10
infaro,20,infaro,20,infaro,20,outfaroup,41,10
infaro,20,infaro,20,infaro,20,outfaroup,42,10
