maintained,technique,is,SLIPCUTUP,and,the,number,is,20
outfaro,25,slipcut,20,slipcut,20,slipcut,20,0
outfaro,26,slipcut,20,slipcut,20,slipcut,20,0
outfaro,27,slipcut,20,slipcut,20,slipcut,20,0
outfaro,28,slipcut,20,slipcut,20,slipcut,20,0
outfaro,29,slipcut,20,slipcut,20,slipcut,20,0
outfaro,30,slipcut,20,slipcut,20,slipcut,20,0
outfaro,31,slipcut,20,slipcut,20,slipcut,20,0
outfaro,32,slipcut,20,slipcut,20,slipcut,20,0
outfaro,33,slipcut,20,slipcut,20,slipcut,20,0
outfaro,34,slipcut,20,slipcut,20,slipcut,20,0
outfaro,35,slipcut,20,slipcut,20,slipcut,20,0
outfaro,36,slipcut,20,slipcut,20,slipcut,20,0
outfaro,37,slipcut,20,slipcut,20,slipcut,20,0
outfaro,38,slipcut,20,slipcut,20,slipcut,20,0
outfaro,39,slipcut,20,slipcut,20,slipcut,20,0
outfaro,40,slipcut,20,slipcut,20,slipcut,20,0
outfaro,41,slipcut,20,slipcut,20,slipcut,20,0
outfaro,42,slipcut,20,slipcut,20,slipcut,20,0
outfaroup,10,slipcut,20,slipcut,20,slipcut,20,320
outfaroup,11,slipcut,20,slipcut,20,slipcut,20,300
outfaroup,12,slipcut,20,slipcut,20,slipcut,20,280
outfaroup,13,slipcut,20,slipcut,20,slipcut,20,260
outfaroup,14,slipcut,20,slipcut,20,slipcut,20,240
outfaroup,15,slipcut,20,slipcut,20,slipcut,20,220
outfaroup,16,slipcut,20,slipcut,20,slipcut,20,200
outfaroup,17,slipcut,20,slipcut,20,slipcut,20,180
outfaroup,18,slipcut,20,slipcut,20,slipcut,20,160
outfaroup,19,slipcut,20,slipcut,20,slipcut,20,140
outfaroup,20,slipcut,20,slipcut,20,slipcut,20,120
outfaroup,21,slipcut,20,slipcut,20,slipcut,20,100
outfaroup,22,slipcut,20,slipcut,20,slipcut,20,80
outfaroup,23,slipcut,20,slipcut,20,slipcut,20,60
