maintained,technique,is,PEALUP,and,the,number,is,20
pealup,34,pealup,20,pealup,20,pealup,20,170
pealup,35,pealup,20,pealup,20,pealup,20,160
pealup,36,pealup,20,pealup,20,pealup,20,150
pealup,37,pealup,20,pealup,20,pealup,20,140
pealup,38,pealup,20,pealup,20,pealup,20,130
pealup,39,pealup,20,pealup,20,pealup,20,120
pealup,40,pealup,20,pealup,20,pealup,20,110
pealup,41,pealup,20,pealup,20,pealup,20,110
pealup,42,pealup,20,pealup,20,pealup,20,90
pealup,43,pealup,20,pealup,20,pealup,20,90
pealup,44,pealup,20,pealup,20,pealup,20,70
pealup,45,pealup,20,pealup,20,pealup,20,70
pealup,46,pealup,20,pealup,20,pealup,20,50
pealup,47,pealup,20,pealup,20,pealup,20,50
pealup,48,pealup,20,pealup,20,pealup,20,30
pealup,49,pealup,20,pealup,20,pealup,20,30
pealup,50,pealup,20,pealup,20,pealup,20,10
pealup,51,pealup,20,pealup,20,pealup,20,10
infaro,10,pealup,20,pealup,20,pealup,20,110
infaro,11,pealup,20,pealup,20,pealup,20,90
infaro,12,pealup,20,pealup,20,pealup,20,70
infaro,13,pealup,20,pealup,20,pealup,20,50
infaro,14,pealup,20,pealup,20,pealup,20,30
infaro,15,pealup,20,pealup,20,pealup,20,10
infaro,16,pealup,20,pealup,20,pealup,20,-10
infaro,17,pealup,20,pealup,20,pealup,20,-10
infaro,18,pealup,20,pealup,20,pealup,20,-10
infaro,19,pealup,20,pealup,20,pealup,20,-10
infaro,20,pealup,20,pealup,20,pealup,20,-10
infaro,21,pealup,20,pealup,20,pealup,20,-10
infaro,22,pealup,20,pealup,20,pealup,20,-10
infaro,23,pealup,20,pealup,20,pealup,20,0
infaro,24,pealup,20,pealup,20,pealup,20,-10
infaro,25,pealup,20,pealup,20,pealup,20,-10
infaro,26,pealup,20,pealup,20,pealup,20,0
infaro,27,pealup,20,pealup,20,pealup,20,-10
infaro,28,pealup,20,pealup,20,pealup,20,-10
infaro,29,pealup,20,pealup,20,pealup,20,0
infaro,30,pealup,20,pealup,20,pealup,20,-10
infaro,31,pealup,20,pealup,20,pealup,20,-10
infaro,32,pealup,20,pealup,20,pealup,20,0
infaro,33,pealup,20,pealup,20,pealup,20,0
infaro,34,pealup,20,pealup,20,pealup,20,-10
infaro,35,pealup,20,pealup,20,pealup,20,10
infaro,36,pealup,20,pealup,20,pealup,20,-10
infaro,37,pealup,20,pealup,20,pealup,20,0
infaro,38,pealup,20,pealup,20,pealup,20,-10
infaro,39,pealup,20,pealup,20,pealup,20,0
infaro,40,pealup,20,pealup,20,pealup,20,-10
infaro,41,pealup,20,pealup,20,pealup,20,0
infaro,42,pealup,20,pealup,20,pealup,20,-10
infaroup,10,pealup,20,pealup,20,pealup,20,330
infaroup,11,pealup,20,pealup,20,pealup,20,300
infaroup,12,pealup,20,pealup,20,pealup,20,280
infaroup,13,pealup,20,pealup,20,pealup,20,270
infaroup,14,pealup,20,pealup,20,pealup,20,240
infaroup,15,pealup,20,pealup,20,pealup,20,220
infaroup,16,pealup,20,pealup,20,pealup,20,210
