maintained,technique,is,INFARO,and,the,number,is,30
peal,19,pealup,30,pealup,30,pealup,30,-5
peal,20,pealup,30,pealup,30,pealup,30,-5
peal,21,pealup,30,pealup,30,pealup,30,0
peal,22,pealup,30,pealup,30,pealup,30,-5
peal,23,pealup,30,pealup,30,pealup,30,5
peal,24,pealup,30,pealup,30,pealup,30,-5
peal,25,pealup,30,pealup,30,pealup,30,0
peal,26,pealup,30,pealup,30,pealup,30,-5
peal,27,pealup,30,pealup,30,pealup,30,0
peal,28,pealup,30,pealup,30,pealup,30,-5
peal,29,pealup,30,pealup,30,pealup,30,-5
peal,30,pealup,30,pealup,30,pealup,30,5
peal,31,pealup,30,pealup,30,pealup,30,0
peal,32,pealup,30,pealup,30,pealup,30,-5
peal,33,pealup,30,pealup,30,pealup,30,-5
peal,34,pealup,30,pealup,30,pealup,30,5
peal,35,pealup,30,pealup,30,pealup,30,-5
peal,36,pealup,30,pealup,30,pealup,30,0
peal,37,pealup,30,pealup,30,pealup,30,-5
peal,38,pealup,30,pealup,30,pealup,30,0
peal,39,pealup,30,pealup,30,pealup,30,-5
peal,40,pealup,30,pealup,30,pealup,30,-5
peal,41,pealup,30,pealup,30,pealup,30,0
peal,42,pealup,30,pealup,30,pealup,30,0
peal,43,pealup,30,pealup,30,pealup,30,0
peal,44,pealup,30,pealup,30,pealup,30,0
peal,45,pealup,30,pealup,30,pealup,30,0
peal,46,pealup,30,pealup,30,pealup,30,0
peal,47,pealup,30,pealup,30,pealup,30,0
peal,48,pealup,30,pealup,30,pealup,30,0
peal,49,pealup,30,pealup,30,pealup,30,5
peal,50,pealup,30,pealup,30,pealup,30,-5
peal,51,pealup,30,pealup,30,pealup,30,-5
pealup,2,pealup,30,pealup,30,pealup,30,0
pealup,3,pealup,30,pealup,30,pealup,30,-5
pealup,4,pealup,30,pealup,30,pealup,30,-5
pealup,5,pealup,30,pealup,30,pealup,30,-5
pealup,6,pealup,30,pealup,30,pealup,30,-5
pealup,7,pealup,30,pealup,30,pealup,30,-5
pealup,8,pealup,30,pealup,30,pealup,30,-5
pealup,9,pealup,30,pealup,30,pealup,30,-5
pealup,10,pealup,30,pealup,30,pealup,30,-5
pealup,11,pealup,30,pealup,30,pealup,30,0
pealup,12,pealup,30,pealup,30,pealup,30,-5
pealup,13,pealup,30,pealup,30,pealup,30,-5
pealup,14,pealup,30,pealup,30,pealup,30,-5
pealup,15,pealup,30,pealup,30,pealup,30,-5
pealup,16,pealup,30,pealup,30,pealup,30,-5
pealup,17,pealup,30,pealup,30,pealup,30,-5
pealup,18,pealup,30,pealup,30,pealup,30,0
pealup,19,pealup,30,pealup,30,pealup,30,-5
pealup,20,pealup,30,pealup,30,pealup,30,0
pealup,21,pealup,30,pealup,30,pealup,30,0
pealup,22,pealup,30,pealup,30,pealup,30,0
pealup,23,pealup,30,pealup,30,pealup,30,-5
pealup,24,pealup,30,pealup,30,pealup,30,0
pealup,25,pealup,30,pealup,30,pealup,30,-5
pealup,26,pealup,30,pealup,30,pealup,30,-5
pealup,27,pealup,30,pealup,30,pealup,30,-5
pealup,28,pealup,30,pealup,30,pealup,30,0
pealup,29,pealup,30,pealup,30,pealup,30,5
pealup,30,pealup,30,pealup,30,pealup,30,-5
pealup,31,pealup,30,pealup,30,pealup,30,-5
pealup,32,pealup,30,pealup,30,pealup,30,-5
pealup,33,pealup,30,pealup,30,pealup,30,-5
pealup,34,pealup,30,pealup,30,pealup,30,0
pealup,35,pealup,30,pealup,30,pealup,30,0
pealup,36,pealup,30,pealup,30,pealup,30,0
pealup,37,pealup,30,pealup,30,pealup,30,0
pealup,38,pealup,30,pealup,30,pealup,30,5
pealup,39,pealup,30,pealup,30,pealup,30,5
pealup,40,pealup,30,pealup,30,pealup,30,0
pealup,41,pealup,30,pealup,30,pealup,30,0
pealup,42,pealup,30,pealup,30,pealup,30,-5
pealup,43,pealup,30,pealup,30,pealup,30,0
pealup,44,pealup,30,pealup,30,pealup,30,-5
pealup,45,pealup,30,pealup,30,pealup,30,0
pealup,46,pealup,30,pealup,30,pealup,30,0
pealup,47,pealup,30,pealup,30,pealup,30,0
pealup,48,pealup,30,pealup,30,pealup,30,10
pealup,49,pealup,30,pealup,30,pealup,30,-5
pealup,50,pealup,30,pealup,30,pealup,30,0
pealup,51,pealup,30,pealup,30,pealup,30,-5
infaro,10,pealup,30,pealup,30,pealup,30,-5
infaro,11,pealup,30,pealup,30,pealup,30,0
infaro,12,pealup,30,pealup,30,pealup,30,15
