maintained,technique,is,PEALUP,and,the,number,is,40
pealup,40,peal,26,pealup,40,pealup,40,-10
pealup,40,peal,27,pealup,40,pealup,40,-10
pealup,40,peal,28,pealup,40,pealup,40,-10
pealup,40,peal,29,pealup,40,pealup,40,-10
pealup,40,peal,30,pealup,40,pealup,40,-10
pealup,40,peal,31,pealup,40,pealup,40,-10
pealup,40,peal,32,pealup,40,pealup,40,-10
pealup,40,peal,33,pealup,40,pealup,40,-10
pealup,40,peal,34,pealup,40,pealup,40,-10
pealup,40,peal,35,pealup,40,pealup,40,-10
pealup,40,peal,36,pealup,40,pealup,40,-10
pealup,40,peal,37,pealup,40,pealup,40,-10
pealup,40,peal,38,pealup,40,pealup,40,-10
pealup,40,peal,39,pealup,40,pealup,40,-10
pealup,40,peal,40,pealup,40,pealup,40,-10
pealup,40,peal,41,pealup,40,pealup,40,-10
pealup,40,peal,42,pealup,40,pealup,40,-10
pealup,40,peal,43,pealup,40,pealup,40,-10
pealup,40,peal,44,pealup,40,pealup,40,-10
pealup,40,peal,45,pealup,40,pealup,40,-10
pealup,40,peal,46,pealup,40,pealup,40,-10
pealup,40,peal,47,pealup,40,pealup,40,-10
pealup,40,peal,48,pealup,40,pealup,40,-10
pealup,40,peal,49,pealup,40,pealup,40,-10
pealup,40,peal,50,pealup,40,pealup,40,-10
pealup,40,peal,51,pealup,40,pealup,40,-10
pealup,40,pealup,2,pealup,40,pealup,40,110
pealup,40,pealup,3,pealup,40,pealup,40,110
pealup,40,pealup,4,pealup,40,pealup,40,110
pealup,40,pealup,5,pealup,40,pealup,40,110
pealup,40,pealup,6,pealup,40,pealup,40,110
pealup,40,pealup,7,pealup,40,pealup,40,110
pealup,40,pealup,8,pealup,40,pealup,40,110
pealup,40,pealup,9,pealup,40,pealup,40,110
pealup,40,pealup,10,pealup,40,pealup,40,110
pealup,40,pealup,11,pealup,40,pealup,40,110
pealup,40,pealup,12,pealup,40,pealup,40,110
pealup,40,pealup,13,pealup,40,pealup,40,110
pealup,40,pealup,14,pealup,40,pealup,40,110
pealup,40,pealup,15,pealup,40,pealup,40,110
pealup,40,pealup,16,pealup,40,pealup,40,110
pealup,40,pealup,17,pealup,40,pealup,40,110
pealup,40,pealup,18,pealup,40,pealup,40,110
pealup,40,pealup,19,pealup,40,pealup,40,110
pealup,40,pealup,20,pealup,40,pealup,40,110
pealup,40,pealup,21,pealup,40,pealup,40,110
pealup,40,pealup,22,pealup,40,pealup,40,110
pealup,40,pealup,23,pealup,40,pealup,40,110
pealup,40,pealup,24,pealup,40,pealup,40,110
pealup,40,pealup,25,pealup,40,pealup,40,110
pealup,40,pealup,26,pealup,40,pealup,40,110
pealup,40,pealup,27,pealup,40,pealup,40,110
pealup,40,pealup,28,pealup,40,pealup,40,110
pealup,40,pealup,29,pealup,40,pealup,40,110
pealup,40,pealup,30,pealup,40,pealup,40,110
pealup,40,pealup,31,pealup,40,pealup,40,110
pealup,40,pealup,32,pealup,40,pealup,40,110
pealup,40,pealup,33,pealup,40,pealup,40,110
pealup,40,pealup,34,pealup,40,pealup,40,110
pealup,40,pealup,35,pealup,40,pealup,40,110
pealup,40,pealup,36,pealup,40,pealup,40,110
pealup,40,pealup,37,pealup,40,pealup,40,110
pealup,40,pealup,38,pealup,40,pealup,40,110
pealup,40,pealup,39,pealup,40,pealup,40,110
pealup,40,pealup,40,pealup,40,pealup,40,510
pealup,40,pealup,41,pealup,40,pealup,40,100
pealup,40,pealup,42,pealup,40,pealup,40,90
pealup,40,pealup,43,pealup,40,pealup,40,80
pealup,40,pealup,44,pealup,40,pealup,40,70
pealup,40,pealup,45,pealup,40,pealup,40,60
