maintained,technique,is,SLIPCUTUP,and,the,number,is,40
slipcut,40,slipcut,40,slipcut,40,pealup,38,120
slipcut,40,slipcut,40,slipcut,40,pealup,39,110
slipcut,40,slipcut,40,slipcut,40,pealup,40,130
slipcut,40,slipcut,40,slipcut,40,pealup,41,100
slipcut,40,slipcut,40,slipcut,40,pealup,42,100
slipcut,40,slipcut,40,slipcut,40,pealup,43,80
slipcut,40,slipcut,40,slipcut,40,pealup,44,80
slipcut,40,slipcut,40,slipcut,40,pealup,45,60
slipcut,40,slipcut,40,slipcut,40,pealup,46,60
slipcut,40,slipcut,40,slipcut,40,pealup,47,40
slipcut,40,slipcut,40,slipcut,40,pealup,48,40
slipcut,40,slipcut,40,slipcut,40,pealup,49,20
slipcut,40,slipcut,40,slipcut,40,pealup,50,20
slipcut,40,slipcut,40,slipcut,40,pealup,51,0
slipcut,40,slipcut,40,slipcut,40,infaro,10,-10
slipcut,40,slipcut,40,slipcut,40,infaro,11,-10
slipcut,40,slipcut,40,slipcut,40,infaro,12,-10
slipcut,40,slipcut,40,slipcut,40,infaro,13,-10
slipcut,40,slipcut,40,slipcut,40,infaro,14,-10
slipcut,40,slipcut,40,slipcut,40,infaro,15,-10
slipcut,40,slipcut,40,slipcut,40,infaro,16,-10
slipcut,40,slipcut,40,slipcut,40,infaro,17,-10
slipcut,40,slipcut,40,slipcut,40,infaro,18,-10
slipcut,40,slipcut,40,slipcut,40,infaro,19,-10
slipcut,40,slipcut,40,slipcut,40,infaro,20,-10
slipcut,40,slipcut,40,slipcut,40,infaro,21,-10
slipcut,40,slipcut,40,slipcut,40,infaro,22,-10
slipcut,40,slipcut,40,slipcut,40,infaro,23,-10
slipcut,40,slipcut,40,slipcut,40,infaro,24,-10
slipcut,40,slipcut,40,slipcut,40,infaro,25,-10
slipcut,40,slipcut,40,slipcut,40,infaro,26,-10
slipcut,40,slipcut,40,slipcut,40,infaro,27,-10
slipcut,40,slipcut,40,slipcut,40,infaro,28,-10
slipcut,40,slipcut,40,slipcut,40,infaro,29,-10
slipcut,40,slipcut,40,slipcut,40,infaro,30,-10
slipcut,40,slipcut,40,slipcut,40,infaro,31,-10
slipcut,40,slipcut,40,slipcut,40,infaro,32,-10
slipcut,40,slipcut,40,slipcut,40,infaro,33,-10
slipcut,40,slipcut,40,slipcut,40,infaro,34,-10
slipcut,40,slipcut,40,slipcut,40,infaro,35,-10
slipcut,40,slipcut,40,slipcut,40,infaro,36,-10
slipcut,40,slipcut,40,slipcut,40,infaro,37,-10
slipcut,40,slipcut,40,slipcut,40,infaro,38,-10
slipcut,40,slipcut,40,slipcut,40,infaro,39,-10
slipcut,40,slipcut,40,slipcut,40,infaro,40,-10
slipcut,40,slipcut,40,slipcut,40,infaro,41,-10
slipcut,40,slipcut,40,slipcut,40,infaro,42,-10
slipcut,40,slipcut,40,slipcut,40,infaroup,10,120
slipcut,40,slipcut,40,slipcut,40,infaroup,11,120
slipcut,40,slipcut,40,slipcut,40,infaroup,12,120
slipcut,40,slipcut,40,slipcut,40,infaroup,13,120
slipcut,40,slipcut,40,slipcut,40,infaroup,14,120
slipcut,40,slipcut,40,slipcut,40,infaroup,15,120
slipcut,40,slipcut,40,slipcut,40,infaroup,16,120
slipcut,40,slipcut,40,slipcut,40,infaroup,17,120
