maintained,technique,is,PEALUP,and,the,number,is,30
pealup,30,pealup,30,pealup,30,outfaroup,19,145
pealup,30,pealup,30,pealup,30,outfaroup,20,120
pealup,30,pealup,30,pealup,30,outfaroup,21,100
pealup,30,pealup,30,pealup,30,outfaroup,22,85
pealup,30,pealup,30,pealup,30,outfaroup,23,60
pealup,30,pealup,30,pealup,30,outfaroup,24,40
pealup,30,pealup,30,pealup,30,outfaroup,25,25
pealup,30,pealup,30,pealup,30,outfaroup,26,0
pealup,30,pealup,30,pealup,30,outfaroup,27,-5
pealup,30,pealup,30,pealup,30,outfaroup,28,0
pealup,30,pealup,30,pealup,30,outfaroup,29,-5
pealup,30,pealup,30,pealup,30,outfaroup,30,0
pealup,30,pealup,30,pealup,30,outfaroup,31,-5
pealup,30,pealup,30,pealup,30,outfaroup,32,0
pealup,30,pealup,30,pealup,30,outfaroup,33,5
pealup,30,pealup,30,pealup,30,outfaroup,34,10
pealup,30,pealup,30,pealup,30,outfaroup,35,15
pealup,30,pealup,30,pealup,30,outfaroup,36,20
pealup,30,pealup,30,pealup,30,outfaroup,37,25
pealup,30,pealup,30,pealup,30,outfaroup,38,30
pealup,30,pealup,30,pealup,30,outfaroup,39,35
pealup,30,pealup,30,pealup,30,outfaroup,40,40
pealup,30,pealup,30,pealup,30,outfaroup,41,45
pealup,30,pealup,30,pealup,30,outfaroup,42,50
