maintained,technique,is,CUT,and,the,number,is,30
cut,30,cut,30,cut,30,infaro,26,0
cut,30,cut,30,cut,30,infaro,27,20
cut,30,cut,30,cut,30,infaro,28,40
cut,30,cut,30,cut,30,infaro,29,60
cut,30,cut,30,cut,30,infaro,30,80
cut,30,cut,30,cut,30,infaro,31,90
cut,30,cut,30,cut,30,infaro,32,110
cut,30,cut,30,cut,30,infaro,33,130
cut,30,cut,30,cut,30,infaro,34,150
cut,30,cut,30,cut,30,infaro,35,170
cut,30,cut,30,cut,30,infaro,36,190
cut,30,cut,30,cut,30,infaro,37,210
cut,30,cut,30,cut,30,infaro,38,230
cut,30,cut,30,cut,30,infaro,39,250
cut,30,cut,30,cut,30,infaro,40,270
cut,30,cut,30,cut,30,infaro,41,290
cut,30,cut,30,cut,30,infaro,42,310
cut,30,cut,30,cut,30,infaroup,10,300
cut,30,cut,30,cut,30,infaroup,11,290
cut,30,cut,30,cut,30,infaroup,12,270
cut,30,cut,30,cut,30,infaroup,13,250
cut,30,cut,30,cut,30,infaroup,14,230
cut,30,cut,30,cut,30,infaroup,15,210
cut,30,cut,30,cut,30,infaroup,16,190
cut,30,cut,30,cut,30,infaroup,17,170
cut,30,cut,30,cut,30,infaroup,18,150
cut,30,cut,30,cut,30,infaroup,19,130
cut,30,cut,30,cut,30,infaroup,20,110
cut,30,cut,30,cut,30,infaroup,21,90
cut,30,cut,30,cut,30,infaroup,22,70
cut,30,cut,30,cut,30,infaroup,23,50
cut,30,cut,30,cut,30,infaroup,24,30
cut,30,cut,30,cut,30,infaroup,25,10
cut,30,cut,30,cut,30,infaroup,26,0
cut,30,cut,30,cut,30,infaroup,27,20
cut,30,cut,30,cut,30,infaroup,28,40
cut,30,cut,30,cut,30,infaroup,29,60
cut,30,cut,30,cut,30,infaroup,30,70
cut,30,cut,30,cut,30,infaroup,31,90
cut,30,cut,30,cut,30,infaroup,32,110
cut,30,cut,30,cut,30,infaroup,33,130
cut,30,cut,30,cut,30,infaroup,34,150
cut,30,cut,30,cut,30,infaroup,35,170
cut,30,cut,30,cut,30,infaroup,36,190
cut,30,cut,30,cut,30,infaroup,37,210
cut,30,cut,30,cut,30,infaroup,38,230
cut,30,cut,30,cut,30,infaroup,39,250
cut,30,cut,30,cut,30,infaroup,40,270
cut,30,cut,30,cut,30,infaroup,41,290
cut,30,cut,30,cut,30,infaroup,42,310
cut,30,cut,30,cut,30,outfaro,10,310
cut,30,cut,30,cut,30,outfaro,11,290
cut,30,cut,30,cut,30,outfaro,12,270
cut,30,cut,30,cut,30,outfaro,13,250
cut,30,cut,30,cut,30,outfaro,14,230
cut,30,cut,30,cut,30,outfaro,15,210
cut,30,cut,30,cut,30,outfaro,16,200
cut,30,cut,30,cut,30,outfaro,17,180
cut,30,cut,30,cut,30,outfaro,18,160
cut,30,cut,30,cut,30,outfaro,19,140
cut,30,cut,30,cut,30,outfaro,20,120
cut,30,cut,30,cut,30,outfaro,21,100
cut,30,cut,30,cut,30,outfaro,22,80
cut,30,cut,30,cut,30,outfaro,23,60
cut,30,cut,30,cut,30,outfaro,24,40
