maintained,technique,is,PEAL,and,the,number,is,30
peal,30,peal,30,peal,30,infaro,39,35
peal,30,peal,30,peal,30,infaro,40,40
peal,30,peal,30,peal,30,infaro,41,45
peal,30,peal,30,peal,30,infaro,42,50
peal,30,peal,30,peal,30,infaroup,10,10
peal,30,peal,30,peal,30,infaroup,11,-5
peal,30,peal,30,peal,30,infaroup,12,-5
peal,30,peal,30,peal,30,infaroup,13,-5
peal,30,peal,30,peal,30,infaroup,14,-5
peal,30,peal,30,peal,30,infaroup,15,-5
peal,30,peal,30,peal,30,infaroup,16,-5
peal,30,peal,30,peal,30,infaroup,17,-5
peal,30,peal,30,peal,30,infaroup,18,-5
peal,30,peal,30,peal,30,infaroup,19,0
peal,30,peal,30,peal,30,infaroup,20,-5
peal,30,peal,30,peal,30,infaroup,21,-5
peal,30,peal,30,peal,30,infaroup,22,0
peal,30,peal,30,peal,30,infaroup,23,-5
peal,30,peal,30,peal,30,infaroup,24,-5
peal,30,peal,30,peal,30,infaroup,25,5
peal,30,peal,30,peal,30,infaroup,26,0
peal,30,peal,30,peal,30,infaroup,27,0
peal,30,peal,30,peal,30,infaroup,28,0
peal,30,peal,30,peal,30,infaroup,29,5
peal,30,peal,30,peal,30,infaroup,30,-5
peal,30,peal,30,peal,30,infaroup,31,10
peal,30,peal,30,peal,30,infaroup,32,5
peal,30,peal,30,peal,30,infaroup,33,15
peal,30,peal,30,peal,30,infaroup,34,20
peal,30,peal,30,peal,30,infaroup,35,25
peal,30,peal,30,peal,30,infaroup,36,25
peal,30,peal,30,peal,30,infaroup,37,40
peal,30,peal,30,peal,30,infaroup,38,35
peal,30,peal,30,peal,30,infaroup,39,45
peal,30,peal,30,peal,30,infaroup,40,50
peal,30,peal,30,peal,30,infaroup,41,55
peal,30,peal,30,peal,30,infaroup,42,55
peal,30,peal,30,peal,30,outfaro,10,215
peal,30,peal,30,peal,30,outfaro,11,210
peal,30,peal,30,peal,30,outfaro,12,210
peal,30,peal,30,peal,30,outfaro,13,215
peal,30,peal,30,peal,30,outfaro,14,210
peal,30,peal,30,peal,30,outfaro,15,210
peal,30,peal,30,peal,30,outfaro,16,205
peal,30,peal,30,peal,30,outfaro,17,180
peal,30,peal,30,peal,30,outfaro,18,160
peal,30,peal,30,peal,30,outfaro,19,145
peal,30,peal,30,peal,30,outfaro,20,120
peal,30,peal,30,peal,30,outfaro,21,100
peal,30,peal,30,peal,30,outfaro,22,85
peal,30,peal,30,peal,30,outfaro,23,60
peal,30,peal,30,peal,30,outfaro,24,40
peal,30,peal,30,peal,30,outfaro,25,25
peal,30,peal,30,peal,30,outfaro,26,0
peal,30,peal,30,peal,30,outfaro,27,-5
peal,30,peal,30,peal,30,outfaro,28,0
peal,30,peal,30,peal,30,outfaro,29,-5
peal,30,peal,30,peal,30,outfaro,30,0
peal,30,peal,30,peal,30,outfaro,31,-5
peal,30,peal,30,peal,30,outfaro,32,0
peal,30,peal,30,peal,30,outfaro,33,5
peal,30,peal,30,peal,30,outfaro,34,10
peal,30,peal,30,peal,30,outfaro,35,15
peal,30,peal,30,peal,30,outfaro,36,20
peal,30,peal,30,peal,30,outfaro,37,25
peal,30,peal,30,peal,30,outfaro,38,30
