maintained,technique,is,OUTFARO,and,the,number,is,40
outfaro,40,outfaro,40,outfaro,40,infaro,15,-10
outfaro,40,outfaro,40,outfaro,40,infaro,16,-10
outfaro,40,outfaro,40,outfaro,40,infaro,17,-10
outfaro,40,outfaro,40,outfaro,40,infaro,18,-10
outfaro,40,outfaro,40,outfaro,40,infaro,19,-10
outfaro,40,outfaro,40,outfaro,40,infaro,20,-10
outfaro,40,outfaro,40,outfaro,40,infaro,21,-10
outfaro,40,outfaro,40,outfaro,40,infaro,22,-10
outfaro,40,outfaro,40,outfaro,40,infaro,23,-10
outfaro,40,outfaro,40,outfaro,40,infaro,24,-10
outfaro,40,outfaro,40,outfaro,40,infaro,25,-10
outfaro,40,outfaro,40,outfaro,40,infaro,26,-10
outfaro,40,outfaro,40,outfaro,40,infaro,27,-10
outfaro,40,outfaro,40,outfaro,40,infaro,28,-10
outfaro,40,outfaro,40,outfaro,40,infaro,29,-10
outfaro,40,outfaro,40,outfaro,40,infaro,30,-10
outfaro,40,outfaro,40,outfaro,40,infaro,31,-10
outfaro,40,outfaro,40,outfaro,40,infaro,32,-10
outfaro,40,outfaro,40,outfaro,40,infaro,33,-10
outfaro,40,outfaro,40,outfaro,40,infaro,34,-10
outfaro,40,outfaro,40,outfaro,40,infaro,35,-10
outfaro,40,outfaro,40,outfaro,40,infaro,36,-10
outfaro,40,outfaro,40,outfaro,40,infaro,37,-10
outfaro,40,outfaro,40,outfaro,40,infaro,38,-10
outfaro,40,outfaro,40,outfaro,40,infaro,39,-10
outfaro,40,outfaro,40,outfaro,40,infaro,40,270
outfaro,40,outfaro,40,outfaro,40,infaro,41,0
outfaro,40,outfaro,40,outfaro,40,infaro,42,0
outfaro,40,outfaro,40,outfaro,40,infaroup,10,0
outfaro,40,outfaro,40,outfaro,40,infaroup,11,0
outfaro,40,outfaro,40,outfaro,40,infaroup,12,10
outfaro,40,outfaro,40,outfaro,40,infaroup,13,10
outfaro,40,outfaro,40,outfaro,40,infaroup,14,10
outfaro,40,outfaro,40,outfaro,40,infaroup,15,10
outfaro,40,outfaro,40,outfaro,40,infaroup,16,10
outfaro,40,outfaro,40,outfaro,40,infaroup,17,10
outfaro,40,outfaro,40,outfaro,40,infaroup,18,10
outfaro,40,outfaro,40,outfaro,40,infaroup,19,10
outfaro,40,outfaro,40,outfaro,40,infaroup,20,10
outfaro,40,outfaro,40,outfaro,40,infaroup,21,10
outfaro,40,outfaro,40,outfaro,40,infaroup,22,10
outfaro,40,outfaro,40,outfaro,40,infaroup,23,10
outfaro,40,outfaro,40,outfaro,40,infaroup,24,10
outfaro,40,outfaro,40,outfaro,40,infaroup,25,10
outfaro,40,outfaro,40,outfaro,40,infaroup,26,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,27,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,28,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,29,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,30,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,31,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,32,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,33,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,34,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,35,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,36,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,37,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,38,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,39,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,40,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,41,-10
outfaro,40,outfaro,40,outfaro,40,infaroup,42,-10
outfaro,40,outfaro,40,outfaro,40,outfaro,10,90
outfaro,40,outfaro,40,outfaro,40,outfaro,11,100
outfaro,40,outfaro,40,outfaro,40,outfaro,12,110
outfaro,40,outfaro,40,outfaro,40,outfaro,13,120
outfaro,40,outfaro,40,outfaro,40,outfaro,14,120
outfaro,40,outfaro,40,outfaro,40,outfaro,15,120
outfaro,40,outfaro,40,outfaro,40,outfaro,16,120
outfaro,40,outfaro,40,outfaro,40,outfaro,17,120
outfaro,40,outfaro,40,outfaro,40,outfaro,18,120
outfaro,40,outfaro,40,outfaro,40,outfaro,19,120
outfaro,40,outfaro,40,outfaro,40,outfaro,20,120
outfaro,40,outfaro,40,outfaro,40,outfaro,21,120
outfaro,40,outfaro,40,outfaro,40,outfaro,22,120
outfaro,40,outfaro,40,outfaro,40,outfaro,23,120
outfaro,40,outfaro,40,outfaro,40,outfaro,24,120
outfaro,40,outfaro,40,outfaro,40,outfaro,25,120
outfaro,40,outfaro,40,outfaro,40,outfaro,26,120
outfaro,40,outfaro,40,outfaro,40,outfaro,27,120
outfaro,40,outfaro,40,outfaro,40,outfaro,28,120
outfaro,40,outfaro,40,outfaro,40,outfaro,29,120
outfaro,40,outfaro,40,outfaro,40,outfaro,30,120
outfaro,40,outfaro,40,outfaro,40,outfaro,31,120
outfaro,40,outfaro,40,outfaro,40,outfaro,32,120
outfaro,40,outfaro,40,outfaro,40,outfaro,33,120
outfaro,40,outfaro,40,outfaro,40,outfaro,34,120
outfaro,40,outfaro,40,outfaro,40,outfaro,35,120
outfaro,40,outfaro,40,outfaro,40,outfaro,36,120
outfaro,40,outfaro,40,outfaro,40,outfaro,37,120
outfaro,40,outfaro,40,outfaro,40,outfaro,38,120
outfaro,40,outfaro,40,outfaro,40,outfaro,39,120
outfaro,40,outfaro,40,outfaro,40,outfaro,40,510
outfaro,40,outfaro,40,outfaro,40,outfaro,41,110
outfaro,40,outfaro,40,outfaro,40,outfaro,42,100
outfaro,40,outfaro,40,outfaro,40,outfaroup,10,0
outfaro,40,outfaro,40,outfaro,40,outfaroup,11,0
outfaro,40,outfaro,40,outfaro,40,outfaroup,12,0
outfaro,40,outfaro,40,outfaro,40,outfaroup,13,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,14,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,15,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,16,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,17,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,18,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,19,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,20,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,21,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,22,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,23,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,24,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,25,10
outfaro,40,outfaro,40,outfaro,40,outfaroup,26,120
outfaro,40,outfaro,40,outfaro,40,outfaroup,27,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,28,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,29,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,30,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,31,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,32,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,33,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,34,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,35,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,36,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,37,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,38,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,39,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,40,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,41,-10
outfaro,40,outfaro,40,outfaro,40,outfaroup,42,-10
