maintained,technique,is,OUTFAROUP,and,the,number,is,20
outfaroup,20,outfaroup,20,outfaroup,20,peal,16,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,17,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,18,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,19,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,20,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,21,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,22,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,23,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,24,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,25,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,26,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,27,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,28,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,29,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,30,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,31,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,32,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,33,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,34,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,35,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,36,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,37,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,38,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,39,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,40,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,41,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,42,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,43,5
outfaroup,20,outfaroup,20,outfaroup,20,peal,44,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,45,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,46,10
outfaroup,20,outfaroup,20,outfaroup,20,peal,47,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,48,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,49,10
outfaroup,20,outfaroup,20,outfaroup,20,peal,50,0
outfaroup,20,outfaroup,20,outfaroup,20,peal,51,0
outfaroup,20,outfaroup,20,outfaroup,20,pealup,2,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,3,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,4,125
outfaroup,20,outfaroup,20,outfaroup,20,pealup,5,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,6,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,7,125
outfaroup,20,outfaroup,20,outfaroup,20,pealup,8,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,9,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,10,125
outfaroup,20,outfaroup,20,outfaroup,20,pealup,11,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,12,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,13,125
outfaroup,20,outfaroup,20,outfaroup,20,pealup,14,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,15,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,16,125
outfaroup,20,outfaroup,20,outfaroup,20,pealup,17,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,18,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,19,125
outfaroup,20,outfaroup,20,outfaroup,20,pealup,20,125
outfaroup,20,outfaroup,20,outfaroup,20,pealup,21,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,22,130
outfaroup,20,outfaroup,20,outfaroup,20,pealup,23,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,24,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,25,130
outfaroup,20,outfaroup,20,outfaroup,20,pealup,26,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,27,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,28,130
outfaroup,20,outfaroup,20,outfaroup,20,pealup,29,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,30,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,31,130
outfaroup,20,outfaroup,20,outfaroup,20,pealup,32,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,33,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,34,130
outfaroup,20,outfaroup,20,outfaroup,20,pealup,35,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,36,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,37,130
outfaroup,20,outfaroup,20,outfaroup,20,pealup,38,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,39,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,40,120
outfaroup,20,outfaroup,20,outfaroup,20,pealup,41,100
outfaroup,20,outfaroup,20,outfaroup,20,pealup,42,90
outfaroup,20,outfaroup,20,outfaroup,20,pealup,43,90
outfaroup,20,outfaroup,20,outfaroup,20,pealup,44,70
outfaroup,20,outfaroup,20,outfaroup,20,pealup,45,60
outfaroup,20,outfaroup,20,outfaroup,20,pealup,46,60
outfaroup,20,outfaroup,20,outfaroup,20,pealup,47,40
outfaroup,20,outfaroup,20,outfaroup,20,pealup,48,30
outfaroup,20,outfaroup,20,outfaroup,20,pealup,49,30
outfaroup,20,outfaroup,20,outfaroup,20,pealup,50,10
outfaroup,20,outfaroup,20,outfaroup,20,pealup,51,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,10,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,11,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,12,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,13,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,14,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,15,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,16,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,17,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,18,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,19,65
outfaroup,20,outfaroup,20,outfaroup,20,infaro,20,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,21,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,22,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,23,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,24,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,25,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,26,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaro,27,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaro,28,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaro,29,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaro,30,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaro,31,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaro,32,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaro,33,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,34,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,35,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,36,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,37,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,38,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,39,0
outfaroup,20,outfaroup,20,outfaroup,20,infaro,40,5
outfaroup,20,outfaroup,20,outfaroup,20,infaro,41,10
outfaroup,20,outfaroup,20,outfaroup,20,infaro,42,15
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,10,120
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,11,120
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,12,120
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,13,120
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,14,120
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,15,120
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,16,120
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,17,120
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,18,120
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,19,305
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,20,110
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,21,90
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,22,70
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,23,50
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,24,30
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,25,10
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,26,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,27,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,28,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,29,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,30,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,31,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,32,-5
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,33,0
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,34,0
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,35,0
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,36,0
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,37,0
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,38,0
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,39,0
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,40,0
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,41,5
outfaroup,20,outfaroup,20,outfaroup,20,infaroup,42,10
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,10,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,11,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,12,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,13,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,14,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,15,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,16,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,17,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,18,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,19,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,20,80
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,21,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,22,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,23,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,24,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,25,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,26,100
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,27,0
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,28,0
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,29,0
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,30,0
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,31,0
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,32,0
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,33,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,34,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,35,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,36,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,37,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,38,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,39,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,40,5
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,41,10
outfaroup,20,outfaroup,20,outfaroup,20,outfaro,42,15
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,10,170
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,11,175
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,12,180
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,13,185
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,14,190
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,15,195
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,16,200
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,17,205
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,18,210
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,19,215
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,20,510
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,21,200
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,22,180
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,23,160
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,24,140
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,25,120
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,26,100
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,27,95
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,28,95
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,29,95
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,30,95
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,31,95
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,32,95
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,33,95
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,34,90
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,35,85
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,36,80
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,37,75
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,38,70
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,39,65
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,40,60
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,41,60
outfaroup,20,outfaroup,20,outfaroup,20,outfaroup,42,60
