maintained,technique,is,CUT,and,the,number,is,30
cut,30,cut,30,cut,30,slipcut,12,-10
cut,30,cut,30,cut,30,slipcut,13,-10
cut,30,cut,30,cut,30,slipcut,14,-10
cut,30,cut,30,cut,30,slipcut,15,-10
cut,30,cut,30,cut,30,slipcut,16,-10
cut,30,cut,30,cut,30,slipcut,17,-10
cut,30,cut,30,cut,30,slipcut,18,-10
cut,30,cut,30,cut,30,slipcut,19,-10
cut,30,cut,30,cut,30,slipcut,20,-10
cut,30,cut,30,cut,30,slipcut,21,-10
cut,30,cut,30,cut,30,slipcut,22,-10
cut,30,cut,30,cut,30,slipcut,23,-10
cut,30,cut,30,cut,30,slipcut,24,-10
cut,30,cut,30,cut,30,slipcut,25,-10
cut,30,cut,30,cut,30,slipcut,26,-10
cut,30,cut,30,cut,30,slipcut,27,-10
cut,30,cut,30,cut,30,slipcut,28,-10
cut,30,cut,30,cut,30,slipcut,29,-10
cut,30,cut,30,cut,30,slipcut,30,-10
cut,30,cut,30,cut,30,slipcut,31,0
cut,30,cut,30,cut,30,slipcut,32,-10
cut,30,cut,30,cut,30,slipcut,33,-10
cut,30,cut,30,cut,30,slipcut,34,-10
cut,30,cut,30,cut,30,slipcut,35,-10
cut,30,cut,30,cut,30,slipcut,36,-10
cut,30,cut,30,cut,30,slipcut,37,-10
cut,30,cut,30,cut,30,slipcut,38,-10
cut,30,cut,30,cut,30,slipcut,39,-10
cut,30,cut,30,cut,30,slipcut,40,-10
cut,30,cut,30,cut,30,slipcut,41,-10
cut,30,cut,30,cut,30,slipcut,42,-10
cut,30,cut,30,cut,30,slipcut,43,-10
cut,30,cut,30,cut,30,slipcut,44,-10
cut,30,cut,30,cut,30,slipcut,45,-10
cut,30,cut,30,cut,30,slipcut,46,-10
cut,30,cut,30,cut,30,slipcut,47,-10
cut,30,cut,30,cut,30,slipcut,48,-10
cut,30,cut,30,cut,30,slipcut,49,-10
cut,30,cut,30,cut,30,slipcut,50,-10
cut,30,cut,30,cut,30,slipcut,51,-10
cut,30,cut,30,cut,30,peal,2,-10
cut,30,cut,30,cut,30,peal,3,-10
cut,30,cut,30,cut,30,peal,4,-10
cut,30,cut,30,cut,30,peal,5,-10
cut,30,cut,30,cut,30,peal,6,-10
cut,30,cut,30,cut,30,peal,7,-10
cut,30,cut,30,cut,30,peal,8,-10
cut,30,cut,30,cut,30,peal,9,-10
cut,30,cut,30,cut,30,peal,10,-10
cut,30,cut,30,cut,30,peal,11,-10
cut,30,cut,30,cut,30,peal,12,-10
cut,30,cut,30,cut,30,peal,13,-10
cut,30,cut,30,cut,30,peal,14,-10
cut,30,cut,30,cut,30,peal,15,-10
cut,30,cut,30,cut,30,peal,16,-10
cut,30,cut,30,cut,30,peal,17,-10
cut,30,cut,30,cut,30,peal,18,-10
cut,30,cut,30,cut,30,peal,19,-10
cut,30,cut,30,cut,30,peal,20,-10
cut,30,cut,30,cut,30,peal,21,-10
cut,30,cut,30,cut,30,peal,22,-10
cut,30,cut,30,cut,30,peal,23,0
cut,30,cut,30,cut,30,peal,24,-10
cut,30,cut,30,cut,30,peal,25,0
cut,30,cut,30,cut,30,peal,26,-10
cut,30,cut,30,cut,30,peal,27,0
cut,30,cut,30,cut,30,peal,28,-10
cut,30,cut,30,cut,30,peal,29,0
cut,30,cut,30,cut,30,peal,30,-10
cut,30,cut,30,cut,30,peal,31,10
cut,30,cut,30,cut,30,peal,32,-10
cut,30,cut,30,cut,30,peal,33,10
cut,30,cut,30,cut,30,peal,34,-10
cut,30,cut,30,cut,30,peal,35,10
cut,30,cut,30,cut,30,peal,36,-10
cut,30,cut,30,cut,30,peal,37,10
cut,30,cut,30,cut,30,peal,38,-10
cut,30,cut,30,cut,30,peal,39,10
cut,30,cut,30,cut,30,peal,40,-10
cut,30,cut,30,cut,30,peal,41,10
cut,30,cut,30,cut,30,peal,42,-10
cut,30,cut,30,cut,30,peal,43,10
cut,30,cut,30,cut,30,peal,44,-10
cut,30,cut,30,cut,30,peal,45,10
cut,30,cut,30,cut,30,peal,46,-10
cut,30,cut,30,cut,30,peal,47,10
cut,30,cut,30,cut,30,peal,48,-10
cut,30,cut,30,cut,30,peal,49,10
cut,30,cut,30,cut,30,peal,50,-10
cut,30,cut,30,cut,30,peal,51,10
cut,30,cut,30,cut,30,pealup,2,-10
cut,30,cut,30,cut,30,pealup,3,-10
cut,30,cut,30,cut,30,pealup,4,-10
cut,30,cut,30,cut,30,pealup,5,-10
cut,30,cut,30,cut,30,pealup,6,-10
cut,30,cut,30,cut,30,pealup,7,-10
cut,30,cut,30,cut,30,pealup,8,-10
cut,30,cut,30,cut,30,pealup,9,-10
cut,30,cut,30,cut,30,pealup,10,-10
cut,30,cut,30,cut,30,pealup,11,-10
cut,30,cut,30,cut,30,pealup,12,-10
cut,30,cut,30,cut,30,pealup,13,-10
cut,30,cut,30,cut,30,pealup,14,-10
cut,30,cut,30,cut,30,pealup,15,-10
cut,30,cut,30,cut,30,pealup,16,-10
cut,30,cut,30,cut,30,pealup,17,-10
cut,30,cut,30,cut,30,pealup,18,-10
cut,30,cut,30,cut,30,pealup,19,-10
cut,30,cut,30,cut,30,pealup,20,-10
cut,30,cut,30,cut,30,pealup,21,-10
cut,30,cut,30,cut,30,pealup,22,-10
cut,30,cut,30,cut,30,pealup,23,0
cut,30,cut,30,cut,30,pealup,24,-10
cut,30,cut,30,cut,30,pealup,25,0
cut,30,cut,30,cut,30,pealup,26,-10
cut,30,cut,30,cut,30,pealup,27,0
cut,30,cut,30,cut,30,pealup,28,-10
cut,30,cut,30,cut,30,pealup,29,0
cut,30,cut,30,cut,30,pealup,30,-10
cut,30,cut,30,cut,30,pealup,31,10
cut,30,cut,30,cut,30,pealup,32,-10
cut,30,cut,30,cut,30,pealup,33,10
cut,30,cut,30,cut,30,pealup,34,-10
cut,30,cut,30,cut,30,pealup,35,10
cut,30,cut,30,cut,30,pealup,36,-10
cut,30,cut,30,cut,30,pealup,37,10
cut,30,cut,30,cut,30,pealup,38,-10
cut,30,cut,30,cut,30,pealup,39,10
cut,30,cut,30,cut,30,pealup,40,-10
cut,30,cut,30,cut,30,pealup,41,10
cut,30,cut,30,cut,30,pealup,42,-10
cut,30,cut,30,cut,30,pealup,43,10
cut,30,cut,30,cut,30,pealup,44,-10
cut,30,cut,30,cut,30,pealup,45,10
cut,30,cut,30,cut,30,pealup,46,-10
cut,30,cut,30,cut,30,pealup,47,10
cut,30,cut,30,cut,30,pealup,48,-10
cut,30,cut,30,cut,30,pealup,49,10
cut,30,cut,30,cut,30,pealup,50,-10
cut,30,cut,30,cut,30,pealup,51,10
cut,30,cut,30,cut,30,infaro,10,-10
cut,30,cut,30,cut,30,infaro,11,-10
cut,30,cut,30,cut,30,infaro,12,-10
cut,30,cut,30,cut,30,infaro,13,-10
cut,30,cut,30,cut,30,infaro,14,-10
cut,30,cut,30,cut,30,infaro,15,-10
cut,30,cut,30,cut,30,infaro,16,-10
cut,30,cut,30,cut,30,infaro,17,-10
cut,30,cut,30,cut,30,infaro,18,-10
cut,30,cut,30,cut,30,infaro,19,-10
cut,30,cut,30,cut,30,infaro,20,-10
cut,30,cut,30,cut,30,infaro,21,-10
cut,30,cut,30,cut,30,infaro,22,0
cut,30,cut,30,cut,30,infaro,23,0
cut,30,cut,30,cut,30,infaro,24,0
cut,30,cut,30,cut,30,infaro,25,0
cut,30,cut,30,cut,30,infaro,26,0
cut,30,cut,30,cut,30,infaro,27,0
cut,30,cut,30,cut,30,infaro,28,0
cut,30,cut,30,cut,30,infaro,29,0
cut,30,cut,30,cut,30,infaro,30,90
cut,30,cut,30,cut,30,infaro,31,0
cut,30,cut,30,cut,30,infaro,32,0
cut,30,cut,30,cut,30,infaro,33,0
cut,30,cut,30,cut,30,infaro,34,0
cut,30,cut,30,cut,30,infaro,35,0
cut,30,cut,30,cut,30,infaro,36,0
cut,30,cut,30,cut,30,infaro,37,0
cut,30,cut,30,cut,30,infaro,38,0
cut,30,cut,30,cut,30,infaro,39,0
cut,30,cut,30,cut,30,infaro,40,0
cut,30,cut,30,cut,30,infaro,41,-10
cut,30,cut,30,cut,30,infaro,42,-10
cut,30,cut,30,cut,30,infaroup,10,-10
cut,30,cut,30,cut,30,infaroup,11,-10
cut,30,cut,30,cut,30,infaroup,12,-10
cut,30,cut,30,cut,30,infaroup,13,-10
cut,30,cut,30,cut,30,infaroup,14,-10
cut,30,cut,30,cut,30,infaroup,15,-10
cut,30,cut,30,cut,30,infaroup,16,-10
cut,30,cut,30,cut,30,infaroup,17,-10
cut,30,cut,30,cut,30,infaroup,18,-10
cut,30,cut,30,cut,30,infaroup,19,-10
cut,30,cut,30,cut,30,infaroup,20,-10
cut,30,cut,30,cut,30,infaroup,21,-10
cut,30,cut,30,cut,30,infaroup,22,0
cut,30,cut,30,cut,30,infaroup,23,0
cut,30,cut,30,cut,30,infaroup,24,0
cut,30,cut,30,cut,30,infaroup,25,0
cut,30,cut,30,cut,30,infaroup,26,0
cut,30,cut,30,cut,30,infaroup,27,0
cut,30,cut,30,cut,30,infaroup,28,0
cut,30,cut,30,cut,30,infaroup,29,0
cut,30,cut,30,cut,30,infaroup,30,0
cut,30,cut,30,cut,30,infaroup,31,0
cut,30,cut,30,cut,30,infaroup,32,0
cut,30,cut,30,cut,30,infaroup,33,0
cut,30,cut,30,cut,30,infaroup,34,0
cut,30,cut,30,cut,30,infaroup,35,0
cut,30,cut,30,cut,30,infaroup,36,0
cut,30,cut,30,cut,30,infaroup,37,-10
cut,30,cut,30,cut,30,infaroup,38,-10
cut,30,cut,30,cut,30,infaroup,39,-10
cut,30,cut,30,cut,30,infaroup,40,-10
cut,30,cut,30,cut,30,infaroup,41,-10
cut,30,cut,30,cut,30,infaroup,42,-10
cut,30,cut,30,cut,30,outfaro,10,-10
cut,30,cut,30,cut,30,outfaro,11,-10
cut,30,cut,30,cut,30,outfaro,12,-10
cut,30,cut,30,cut,30,outfaro,13,-10
cut,30,cut,30,cut,30,outfaro,14,-10
cut,30,cut,30,cut,30,outfaro,15,-10
cut,30,cut,30,cut,30,outfaro,16,-10
cut,30,cut,30,cut,30,outfaro,17,-10
cut,30,cut,30,cut,30,outfaro,18,-10
cut,30,cut,30,cut,30,outfaro,19,-10
cut,30,cut,30,cut,30,outfaro,20,-10
cut,30,cut,30,cut,30,outfaro,21,-10
cut,30,cut,30,cut,30,outfaro,22,-10
cut,30,cut,30,cut,30,outfaro,23,0
cut,30,cut,30,cut,30,outfaro,24,0
cut,30,cut,30,cut,30,outfaro,25,0
cut,30,cut,30,cut,30,outfaro,26,0
cut,30,cut,30,cut,30,outfaro,27,0
cut,30,cut,30,cut,30,outfaro,28,0
cut,30,cut,30,cut,30,outfaro,29,0
cut,30,cut,30,cut,30,outfaro,30,70
cut,30,cut,30,cut,30,outfaro,31,0
cut,30,cut,30,cut,30,outfaro,32,0
cut,30,cut,30,cut,30,outfaro,33,0
cut,30,cut,30,cut,30,outfaro,34,0
cut,30,cut,30,cut,30,outfaro,35,0
cut,30,cut,30,cut,30,outfaro,36,0
cut,30,cut,30,cut,30,outfaro,37,0
cut,30,cut,30,cut,30,outfaro,38,0
cut,30,cut,30,cut,30,outfaro,39,0
cut,30,cut,30,cut,30,outfaro,40,0
cut,30,cut,30,cut,30,outfaro,41,0
cut,30,cut,30,cut,30,outfaro,42,-10
cut,30,cut,30,cut,30,outfaroup,10,-10
cut,30,cut,30,cut,30,outfaroup,11,-10
cut,30,cut,30,cut,30,outfaroup,12,-10
cut,30,cut,30,cut,30,outfaroup,13,-10
cut,30,cut,30,cut,30,outfaroup,14,-10
cut,30,cut,30,cut,30,outfaroup,15,-10
