maintained,technique,is,OUTFARO,and,the,number,is,20
peal,2,outfaro,20,outfaro,20,outfaro,20,120
peal,3,outfaro,20,outfaro,20,outfaro,20,120
peal,4,outfaro,20,outfaro,20,outfaro,20,120
peal,5,outfaro,20,outfaro,20,outfaro,20,120
peal,6,outfaro,20,outfaro,20,outfaro,20,120
peal,7,outfaro,20,outfaro,20,outfaro,20,120
peal,8,outfaro,20,outfaro,20,outfaro,20,120
peal,9,outfaro,20,outfaro,20,outfaro,20,120
peal,10,outfaro,20,outfaro,20,outfaro,20,120
peal,11,outfaro,20,outfaro,20,outfaro,20,120
peal,12,outfaro,20,outfaro,20,outfaro,20,120
peal,13,outfaro,20,outfaro,20,outfaro,20,120
peal,14,outfaro,20,outfaro,20,outfaro,20,120
peal,15,outfaro,20,outfaro,20,outfaro,20,120
peal,16,outfaro,20,outfaro,20,outfaro,20,120
peal,17,outfaro,20,outfaro,20,outfaro,20,120
peal,18,outfaro,20,outfaro,20,outfaro,20,130
peal,19,outfaro,20,outfaro,20,outfaro,20,120
peal,20,outfaro,20,outfaro,20,outfaro,20,140
peal,21,outfaro,20,outfaro,20,outfaro,20,120
peal,22,outfaro,20,outfaro,20,outfaro,20,140
peal,23,outfaro,20,outfaro,20,outfaro,20,120
peal,24,outfaro,20,outfaro,20,outfaro,20,140
peal,25,outfaro,20,outfaro,20,outfaro,20,120
peal,26,outfaro,20,outfaro,20,outfaro,20,140
peal,27,outfaro,20,outfaro,20,outfaro,20,120
peal,28,outfaro,20,outfaro,20,outfaro,20,120
peal,29,outfaro,20,outfaro,20,outfaro,20,120
peal,30,outfaro,20,outfaro,20,outfaro,20,120
peal,31,outfaro,20,outfaro,20,outfaro,20,120
peal,32,outfaro,20,outfaro,20,outfaro,20,120
peal,33,outfaro,20,outfaro,20,outfaro,20,120
peal,34,outfaro,20,outfaro,20,outfaro,20,120
peal,35,outfaro,20,outfaro,20,outfaro,20,120
peal,36,outfaro,20,outfaro,20,outfaro,20,120
peal,37,outfaro,20,outfaro,20,outfaro,20,120
peal,38,outfaro,20,outfaro,20,outfaro,20,120
peal,39,outfaro,20,outfaro,20,outfaro,20,120
peal,40,outfaro,20,outfaro,20,outfaro,20,110
peal,41,outfaro,20,outfaro,20,outfaro,20,100
peal,42,outfaro,20,outfaro,20,outfaro,20,90
peal,43,outfaro,20,outfaro,20,outfaro,20,80
peal,44,outfaro,20,outfaro,20,outfaro,20,70
peal,45,outfaro,20,outfaro,20,outfaro,20,60
peal,46,outfaro,20,outfaro,20,outfaro,20,50
peal,47,outfaro,20,outfaro,20,outfaro,20,40
peal,48,outfaro,20,outfaro,20,outfaro,20,30
peal,49,outfaro,20,outfaro,20,outfaro,20,20
peal,50,outfaro,20,outfaro,20,outfaro,20,10
peal,51,outfaro,20,outfaro,20,outfaro,20,0
pealup,2,outfaro,20,outfaro,20,outfaro,20,100
pealup,3,outfaro,20,outfaro,20,outfaro,20,90
pealup,4,outfaro,20,outfaro,20,outfaro,20,80
pealup,5,outfaro,20,outfaro,20,outfaro,20,70
pealup,6,outfaro,20,outfaro,20,outfaro,20,60
pealup,7,outfaro,20,outfaro,20,outfaro,20,50
pealup,8,outfaro,20,outfaro,20,outfaro,20,40
pealup,9,outfaro,20,outfaro,20,outfaro,20,30
pealup,10,outfaro,20,outfaro,20,outfaro,20,20
pealup,11,outfaro,20,outfaro,20,outfaro,20,10
pealup,12,outfaro,20,outfaro,20,outfaro,20,0
pealup,13,outfaro,20,outfaro,20,outfaro,20,0
pealup,14,outfaro,20,outfaro,20,outfaro,20,0
pealup,15,outfaro,20,outfaro,20,outfaro,20,0
pealup,16,outfaro,20,outfaro,20,outfaro,20,0
pealup,17,outfaro,20,outfaro,20,outfaro,20,0
pealup,18,outfaro,20,outfaro,20,outfaro,20,0
pealup,19,outfaro,20,outfaro,20,outfaro,20,0
pealup,20,outfaro,20,outfaro,20,outfaro,20,0
pealup,21,outfaro,20,outfaro,20,outfaro,20,0
pealup,22,outfaro,20,outfaro,20,outfaro,20,0
pealup,23,outfaro,20,outfaro,20,outfaro,20,0
