maintained,technique,is,CUT,and,the,number,is,40
cut,40,pealup,7,cut,40,cut,40,-10
cut,40,pealup,8,cut,40,cut,40,-10
cut,40,pealup,9,cut,40,cut,40,-10
cut,40,pealup,10,cut,40,cut,40,-10
cut,40,pealup,11,cut,40,cut,40,-10
cut,40,pealup,12,cut,40,cut,40,-10
cut,40,pealup,13,cut,40,cut,40,0
cut,40,pealup,14,cut,40,cut,40,-10
cut,40,pealup,15,cut,40,cut,40,0
cut,40,pealup,16,cut,40,cut,40,-10
cut,40,pealup,17,cut,40,cut,40,0
cut,40,pealup,18,cut,40,cut,40,-10
cut,40,pealup,19,cut,40,cut,40,0
cut,40,pealup,20,cut,40,cut,40,-10
cut,40,pealup,21,cut,40,cut,40,0
cut,40,pealup,22,cut,40,cut,40,-10
cut,40,pealup,23,cut,40,cut,40,0
cut,40,pealup,24,cut,40,cut,40,-10
cut,40,pealup,25,cut,40,cut,40,0
cut,40,pealup,26,cut,40,cut,40,-10
cut,40,pealup,27,cut,40,cut,40,0
cut,40,pealup,28,cut,40,cut,40,-10
cut,40,pealup,29,cut,40,cut,40,0
cut,40,pealup,30,cut,40,cut,40,-10
cut,40,pealup,31,cut,40,cut,40,0
cut,40,pealup,32,cut,40,cut,40,-10
cut,40,pealup,33,cut,40,cut,40,0
cut,40,pealup,34,cut,40,cut,40,-10
cut,40,pealup,35,cut,40,cut,40,0
cut,40,pealup,36,cut,40,cut,40,-10
cut,40,pealup,37,cut,40,cut,40,0
cut,40,pealup,38,cut,40,cut,40,-10
cut,40,pealup,39,cut,40,cut,40,0
cut,40,pealup,40,cut,40,cut,40,-10
cut,40,pealup,41,cut,40,cut,40,10
cut,40,pealup,42,cut,40,cut,40,-10
cut,40,pealup,43,cut,40,cut,40,10
cut,40,pealup,44,cut,40,cut,40,-10
cut,40,pealup,45,cut,40,cut,40,10
cut,40,pealup,46,cut,40,cut,40,-10
cut,40,pealup,47,cut,40,cut,40,10
cut,40,pealup,48,cut,40,cut,40,-10
cut,40,pealup,49,cut,40,cut,40,10
cut,40,pealup,50,cut,40,cut,40,-10
cut,40,pealup,51,cut,40,cut,40,10
cut,40,infaro,10,cut,40,cut,40,-10
cut,40,infaro,11,cut,40,cut,40,-10
cut,40,infaro,12,cut,40,cut,40,0
cut,40,infaro,13,cut,40,cut,40,0
cut,40,infaro,14,cut,40,cut,40,0
cut,40,infaro,15,cut,40,cut,40,0
