maintained,technique,is,PEAL,and,the,number,is,20
peal,20,peal,20,peal,20,pealup,16,150
peal,20,peal,20,peal,20,pealup,17,150
peal,20,peal,20,peal,20,pealup,18,130
peal,20,peal,20,peal,20,pealup,19,130
peal,20,peal,20,peal,20,pealup,20,110
peal,20,peal,20,peal,20,pealup,21,110
peal,20,peal,20,peal,20,pealup,22,90
peal,20,peal,20,peal,20,pealup,23,90
peal,20,peal,20,peal,20,pealup,24,70
peal,20,peal,20,peal,20,pealup,25,70
peal,20,peal,20,peal,20,pealup,26,50
peal,20,peal,20,peal,20,pealup,27,50
peal,20,peal,20,peal,20,pealup,28,30
peal,20,peal,20,peal,20,pealup,29,30
peal,20,peal,20,peal,20,pealup,30,10
peal,20,peal,20,peal,20,pealup,31,10
peal,20,peal,20,peal,20,pealup,32,-10
peal,20,peal,20,peal,20,pealup,33,0
peal,20,peal,20,peal,20,pealup,34,-10
peal,20,peal,20,peal,20,pealup,35,0
peal,20,peal,20,peal,20,pealup,36,-10
peal,20,peal,20,peal,20,pealup,37,0
peal,20,peal,20,peal,20,pealup,38,-10
peal,20,peal,20,peal,20,pealup,39,0
peal,20,peal,20,peal,20,pealup,40,-10
peal,20,peal,20,peal,20,pealup,41,0
peal,20,peal,20,peal,20,pealup,42,-10
peal,20,peal,20,peal,20,pealup,43,0
peal,20,peal,20,peal,20,pealup,44,-10
peal,20,peal,20,peal,20,pealup,45,0
peal,20,peal,20,peal,20,pealup,46,-10
peal,20,peal,20,peal,20,pealup,47,0
peal,20,peal,20,peal,20,pealup,48,-10
peal,20,peal,20,peal,20,pealup,49,0
peal,20,peal,20,peal,20,pealup,50,-10
peal,20,peal,20,peal,20,pealup,51,0
peal,20,peal,20,peal,20,infaro,10,330
peal,20,peal,20,peal,20,infaro,11,300
peal,20,peal,20,peal,20,infaro,12,280
peal,20,peal,20,peal,20,infaro,13,270
peal,20,peal,20,peal,20,infaro,14,240
peal,20,peal,20,peal,20,infaro,15,220
peal,20,peal,20,peal,20,infaro,16,210
peal,20,peal,20,peal,20,infaro,17,180
peal,20,peal,20,peal,20,infaro,18,160
